# M_ini =  1.70 Msun, Z = 0.0011, Y = 0.24, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.662 Msun, M_yield(all) = 1.038 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.376190   7.183367E-01   6.917829E-01
 he   2   11.025116   0.095116   1.471307   3.043735E-01   2.931222E-01
  c   6    9.190950   0.720950   2.097140   1.338037E-02   1.288576E-02
  n   7    7.051897  -0.818103   0.558087   1.133377E-04   1.091481E-04
  o   8    7.920278  -0.809722   0.566469   9.569891E-04   9.216134E-04
  f   9    5.173169   0.753169   2.129359   2.033529E-06   1.958358E-06
 ne  10    7.798778  -0.171222   1.204969   9.804270E-04   9.441849E-04
 na  11    5.723244  -0.516756   0.859434   8.735738E-06   8.412816E-06
 mg  12    6.662101  -0.977899   0.398291   7.983988E-05   7.688855E-05
 al  13    5.181474  -1.268526   0.107664   2.945545E-06   2.836661E-06
 si  14    6.555845  -0.994155   0.382036   7.245819E-05   6.977973E-05
  p  15    4.201864  -1.208136   0.168055   3.544492E-07   3.413468E-07
  s  16    5.786131  -1.363869   0.012322   1.409108E-05   1.357019E-05
 cl  17    3.901987  -1.328013   0.048177   2.043827E-07   1.968276E-07
 ar  18    5.063072  -1.376928  -0.000738   3.017271E-06   2.905736E-06
  k  19    3.724122  -1.355878   0.020312   1.490831E-07   1.435721E-07
 ca  20    4.911374  -1.378626  -0.002435   2.350241E-06   2.263362E-06
 sc  21    1.792139  -1.257861   0.118330   2.002995E-09   1.928953E-09
 ti  22    3.554819  -1.355181   0.021010   1.237612E-07   1.191863E-07
  v  23    2.575767  -1.384233  -0.008042   1.379321E-08   1.328334E-08
 cr  24    4.246090  -1.393910  -0.017719   6.604049E-07   6.359926E-07
 mn  25    4.124186  -1.355814   0.020377   5.258682E-07   5.064292E-07
 fe  26    6.163810  -1.376190   0.000000   5.858369E-05   5.641811E-05
