# M_ini =  4.00 Msun, Z = 0.0011, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.886 Msun, M_yield(all) = 3.114 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.349808   1.949436E+00   6.260634E-01
 he   2   11.142375   0.212375   1.562182   1.082290E+00   3.475785E-01
  c   6    8.216076  -0.253924   1.095884   3.897802E-03   1.251784E-03
  n   7    9.408916   1.538916   2.888723   6.997668E-02   2.247309E-02
  o   8    7.697686  -1.032314   0.317494   1.555179E-03   4.994474E-04
  f   9    3.959692  -0.460308   0.889500   3.375631E-07   1.084088E-07
 ne  10    8.038718   0.068718   1.418526   4.639450E-03   1.489965E-03
 na  11    6.432374   0.192374   1.542181   1.213418E-04   3.896905E-05
 mg  12    7.420494  -0.219506   1.130302   1.303064E-03   4.184805E-04
 al  13    6.180664  -0.269336   1.080472   7.978789E-05   2.562397E-05
 si  14    6.693099  -0.856901   0.492907   2.706906E-04   8.693259E-05
  p  15    4.863278  -0.546722   0.803086   4.411116E-06   1.416635E-06
  s  16    5.822236  -1.327764   0.022044   4.159747E-05   1.335907E-05
 cl  17    3.970499  -1.259501   0.090307   6.510175E-07   2.090750E-07
 ar  18    5.096626  -1.343374   0.006433   8.866716E-06   2.847556E-06
  k  19    3.817900  -1.262100   0.087708   5.019897E-07   1.612146E-07
 ca  20    4.934124  -1.355876  -0.006068   6.728251E-06   2.160785E-06
 sc  21    2.209380  -0.840620   0.509187   1.420696E-08   4.562580E-09
 ti  22    3.600995  -1.309005   0.040803   3.738244E-07   1.200541E-07
  v  23    2.611918  -1.348082   0.001725   4.068147E-08   1.306490E-08
 cr  24    4.271128  -1.368872  -0.019065   1.899658E-06   6.100772E-07
 mn  25    4.117993  -1.362007  -0.012200   1.406903E-06   4.518284E-07
 fe  26    6.190192  -1.349808   0.000000   1.692184E-04   5.434467E-05
 co  27    4.069844  -0.800156   0.549652   1.350843E-06   4.338248E-07
 ni  28    5.051568  -1.148432   0.201376   1.320389E-05   4.240446E-06
 cu  29    4.004473  -0.245527   1.104280   1.252359E-06   4.021965E-07
 zn  30    3.944719  -0.685281   0.664526   1.146666E-06   3.682529E-07
 ga  31    3.000283  -0.079717   1.270091   1.363937E-07   4.380299E-08
 ge  32    3.443651  -0.136349   1.213458   3.910255E-07   1.255783E-07
 as  33    1.969367  -0.330633   1.019175   1.362503E-08   4.375695E-09
 se  34    3.345796   0.005796   1.355603   3.396131E-07   1.090671E-07
 br  35    2.284595  -0.255405   1.094403   3.014897E-08   9.682377E-09
 kr  36    3.563742   0.313742   1.663550   6.062519E-07   1.946985E-07
 rb  37    2.945601   0.425601   1.775409   1.483688E-07   4.764881E-08
 sr  38    3.100755   0.220755   1.570563   2.156197E-07   6.924650E-08
  y  39    2.406306   0.196306   1.546113   4.421855E-08   1.420084E-08
 zr  40    2.713416   0.183416   1.533223   9.307977E-08   2.989267E-08
 nb  41    1.458017   0.048017   1.397825   5.204860E-09   1.671547E-09
 mo  42    1.785448  -0.154552   1.195256   1.150133E-08   3.693665E-09
 ru  44    1.406829  -0.353171   0.996636   5.016425E-09   1.611031E-09
 rh  45    0.332298  -0.727702   0.622106   4.315628E-10   1.385969E-10
 pd  46    1.298127  -0.351873   0.997935   4.107943E-09   1.319271E-09
 ag  47    0.510850  -0.689150   0.660658   6.835153E-10   2.195117E-10
 cd  48    1.396067  -0.313933   1.035875   5.448578E-09   1.749817E-09
 in  49    0.249929  -0.510071   0.839737   3.985988E-10   1.280104E-10
 sn  50    1.755072  -0.314928   1.034880   1.313081E-08   4.216974E-09
 sb  51    0.224126  -0.785874   0.563934   3.952031E-10   1.269199E-10
 te  52    1.287856  -0.892144   0.457663   4.717554E-09   1.515048E-09
  i  53    0.405323  -1.144677   0.205130   6.295572E-10   2.021830E-10
 xe  54    1.519538  -0.720462   0.629346   8.483170E-09   2.724380E-09
 cs  55    0.217387  -0.862613   0.487194   4.277080E-10   1.373589E-10
 ba  56    1.924933  -0.255067   1.094740   2.251265E-08   7.229961E-09
 la  57    0.651836  -0.518164   0.831644   1.215513E-09   3.903635E-10
 ce  58    1.026632  -0.553368   0.796439   2.907624E-09   9.337867E-10
 pr  59    0.008899  -0.751101   0.598707   2.805611E-10   9.010250E-11
 nd  60    0.645707  -0.804293   0.545514   1.240281E-09   3.983178E-10
 sm  62   -0.084251  -1.024251   0.325556   2.399553E-10   7.706191E-11
 eu  63   -0.737891  -1.247891   0.101917   5.419791E-11   1.740572E-11
 gd  64   -0.122432  -1.172432   0.177375   2.304923E-10   7.402285E-11
 tb  65   -0.886161  -1.206161   0.143646   4.028512E-11   1.293761E-11
 dy  66    0.036288  -1.093712   0.256095   3.447073E-10   1.107031E-10
 ho  67   -0.767129  -1.237129   0.112679   5.498747E-11   1.765929E-11
 er  68   -0.162634  -1.082634   0.267173   2.245390E-10   7.211097E-11
 tm  69   -1.027077  -1.147077   0.202731   3.095414E-11   9.940957E-12
 yb  70    0.013574  -0.906426   0.443381   3.475991E-10   1.116319E-10
 lu  71   -0.874348  -0.964348   0.385460   4.563164E-11   1.465465E-11
 hf  72   -0.098265  -0.808265   0.541543   2.782370E-10   8.935611E-11
 ta  73   -1.019429  -0.899429   0.450379   3.374104E-11   1.083597E-11
  w  74   -0.146494  -0.796494   0.553313   2.559341E-10   8.219352E-11
 re  75   -0.856108  -1.116108   0.233700   5.052328E-11   1.622561E-11
 os  76    0.142489  -1.207511   0.142297   5.138028E-10   1.650083E-10
 ir  77   -0.014395  -1.334395   0.015413   3.625452E-10   1.164318E-10
 pt  78    0.324451  -1.295549   0.054259   8.020125E-10   2.575672E-10
 au  79   -0.462977  -1.262977   0.086831   1.322509E-10   4.247252E-11
 hg  80    0.282948  -0.887052   0.462756   7.494503E-10   2.406868E-10
 tl  81    0.030439  -0.739561   0.610246   4.273407E-10   1.372410E-10
 pb  82    1.068805  -0.971195   0.378613   4.733970E-09   1.520320E-09
 bi  83   -0.432629  -1.082629   0.267178   1.504617E-10   4.832095E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.2422   1.5500   0.8171  -0.7329  -0.4385      0.9709      8.5784
