# Final abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
 tl  81   1.585576  0.815576  2.201781  2.014552 5.39886E-09
 pb  82   3.576737  1.536737  2.922942  2.735713 5.36302E-07
 bi  83   2.163550  1.513550  2.899755  2.712526 2.08899E-08
 po  84   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
#[ls/Fe]_Thiswork =   1.6282, [hs/Fe]_Thiswork =   2.0209
#[hs/ls]_Thiswork =   0.3926, [Pb/hs]_Thiswork =   0.9021
# C/O =  5.1314E+01, c12/c13 = 2.02891E+01, n14/n15 = 5.84986E+04
# o16/o17 = 4.29763E+03, o16/o18 = 5.78465E+04
# mg24/mg25 =  3.1351E-01, mg24/mg26 =  3.1245E-01
# si28/si29 =  2.9672E+01, si28/si30 =  3.4117E+01
# cl36/cl35 =  0.0000E+00, cl37/cl35 =  5.5640E-01
