# Final abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 6.91494E-01
 he   2  11.034167  0.104167  1.488363  1.472202 2.97085E-01
 li   3  -5.026854 -8.286854 -6.902658 -6.918819 4.47606E-17
 be   4   0.000000 -1.300000  0.000000  0.000000 4.73063E-26
  b   5   0.000000 -2.790000  0.000000  0.000000 2.88458E-30
  c   6   9.251192  0.781192  2.165388  2.149227 1.46926E-02
  n   7   7.886312  0.016312  1.400508  1.384347 7.39581E-04
  o   8   7.361965 -1.368035  0.016161  0.000000 2.52572E-04
  f   9   5.195355  0.775355  2.159551  2.143390 2.04358E-06
 ne  10   7.847509 -0.122491  1.261705  1.245544 9.74447E-04
 na  11   5.867470 -0.372530  1.011666  0.995505 1.16235E-05
 mg  12   6.984208 -0.655792  0.728404  0.712243 1.60780E-04
 al  13   5.974958 -0.475042  0.909154  0.892993 1.74727E-05
 si  14   6.592518 -0.957482  0.426713  0.410553 7.53939E-05
  p  15   4.332088 -1.077911  0.306284  0.290123 4.56472E-07
  s  16   5.783855 -1.366145  0.018051  0.001890 1.33726E-05
 cl  17   3.922139 -1.307861  0.076335  0.060174 2.03292E-07
 ar  18   5.061695 -1.378305  0.005891 -0.010270 3.15877E-06
  k  19   3.754193 -1.325807  0.058389  0.042228 1.52292E-07
 ca  20   4.903630 -1.386370 -0.002174 -0.018335 2.20224E-06
 sc  21   2.033927 -1.016073  0.368123  0.351962 3.33459E-09
 ti  22   3.544593 -1.365407  0.018789  0.002628 1.15069E-07
  v  23   2.572928 -1.387072 -0.002876 -0.019037 1.30717E-08
 cr  24   4.242030 -1.397970 -0.013774 -0.029935 6.22771E-07
 mn  25   4.091170 -1.388830 -0.004634 -0.020795 4.64913E-07
 fe  26   6.155804 -1.384196  0.000000 -0.016161 5.48424E-05
 co  27   4.105869 -0.764131  0.620065  0.603904 5.15889E-07
 ni  28   5.004619 -1.195381  0.188815  0.172654 4.06943E-06
 cu  29   3.632195 -0.617805  0.766391  0.750230 1.86901E-07
 zn  30   3.561844 -1.068156  0.316040  0.299879 1.63610E-07
 ga  31   2.458633 -0.621367  0.762829  0.746668 1.37511E-08
 ge  32   2.889231 -0.690769  0.693427  0.677266 3.86131E-08
 as  33   1.442449 -0.857551  0.526644  0.510484 1.42360E-09
 se  34   2.713026 -0.626974  0.757222  0.741061 2.79744E-08
 br  35   1.864244 -0.675756  0.708440  0.692279 4.00997E-09
 kr  36   2.759067 -0.490933  0.893262  0.877101 3.30087E-08
 rb  37   2.147536 -0.372464  1.011732  0.995571 8.23508E-09
 sr  38   2.237233 -0.642767  0.741429  0.725268 1.03792E-08
  y  39   1.496482 -0.713518  0.670678  0.654517 1.91311E-09
 zr  40   1.755137 -0.774863  0.609333  0.593172 3.56103E-09
 nb  41   0.531662 -0.878338  0.505858  0.489697 2.16788E-10
 mo  42   0.848117 -1.091883  0.292313  0.276152 4.63922E-10
 tc  43   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 ru  44   0.510825 -1.249175  0.135021  0.118860 2.24790E-10
 rh  45  -0.249145 -1.309144  0.075051  0.058890 3.97763E-11
 pd  46   0.434551 -1.215449  0.168747  0.152586 1.98565E-10
 ag  47  -0.099726 -1.299726  0.084470  0.068309 5.88159E-11
 cd  48   0.519061 -1.190939  0.193257  0.177096 2.54799E-10
 in  49  -0.501904 -1.261904  0.122292  0.106131 2.47990E-11
 sn  50   0.852708 -1.217292  0.166904  0.150743 5.80128E-10
 sb  51  -0.502427 -1.512427 -0.128231 -0.144392 2.62667E-11
 te  52   0.484310 -1.695690 -0.311494 -0.327655 2.66987E-10
  i  53   0.166921 -1.383079  0.001117 -0.015044 1.27857E-10
 xe  54   0.910215 -1.329785  0.054411  0.038250 7.32462E-10
