# Final abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.83948E-01
 he   2  11.254139  0.324139  1.621646  1.445244 4.16330E-01
 li   3   1.686024 -1.573976 -0.276469 -0.452871 1.95146E-10
 be   4   0.982227 -0.317773  0.979735  0.803333 5.01143E-11
  b   5   0.000000 -2.790000  0.000000  0.000000 4.28348E-28
  c   6   8.741392  0.271392  1.568900  1.392497 3.83605E-03
  n   7   7.114209 -0.755791  0.541717  0.365314 1.05552E-04
  o   8   7.608894 -1.121105  0.176403  0.000000 3.76618E-04
  f   9   4.559215  0.139215  1.436723  1.260320 3.98875E-07
 ne  10   7.281683 -0.688317  0.609191  0.432788 2.23624E-04
 na  11   5.340638 -0.899362  0.398146  0.221743 2.91803E-06
 mg  12   6.397952 -1.242048  0.055460 -0.120943 3.52015E-05
 al  13   5.237769 -1.212231  0.085277 -0.091125 2.70244E-06
 si  14   6.264966 -1.285035  0.012473 -0.163929 2.99481E-05
  p  15   4.275959 -1.134040  0.163467 -0.012935 3.38743E-07
  s  16   5.864987 -1.285013  0.012495 -0.163908 1.36123E-05
 cl  17   3.950487 -1.279513  0.017995 -0.158408 1.83254E-07
 ar  18   5.142506 -1.297494  0.000013 -0.176389 3.21303E-06
  k  19   3.789565 -1.290435  0.007073 -0.169330 1.39519E-07
 ca  20   4.991648 -1.298352 -0.000844 -0.177247 2.27755E-06
 sc  21   1.816007 -1.233993  0.063514 -0.112888 1.70494E-09
 ti  22   3.623825 -1.286175  0.011333 -0.165070 1.16620E-07
  v  23   2.662256 -1.297744 -0.000236 -0.176639 1.35596E-08
 cr  24   4.324151 -1.315849 -0.018341 -0.194744 6.35381E-07
 mn  25   4.184073 -1.295927  0.001581 -0.174821 4.86250E-07
 fe  26   6.242492 -1.297508  0.000000 -0.176403 5.65444E-05
 co  27   3.678783 -1.191216  0.106291 -0.070111 1.62950E-07
 ni  28   4.910966 -1.289034  0.008474 -0.167929 2.76991E-06
 cu  29   3.062364 -1.187636  0.109871 -0.066531 4.24977E-08
 zn  30   3.374928 -1.255072  0.042436 -0.133966 8.98420E-08
 ga  31   1.977923 -1.102077  0.195431  0.019029 3.83895E-09
 ge  32   2.467925 -1.112075  0.185433  0.009030 1.23599E-08
 as  33   1.158069 -1.141931  0.155576 -0.020826 6.24585E-10
 se  34   2.361900 -0.978100  0.319408  0.143006 1.05250E-08
 br  35   1.556848 -0.983152  0.314355  0.137953 1.66851E-09
 kr  36   2.609096 -0.640904  0.656603  0.480201 1.97353E-08
 rb  37   1.888385 -0.631615  0.665893  0.489490 3.82914E-09
 sr  38   2.677336 -0.202664  1.094843  0.918441 2.41464E-08
  y  39   2.128615 -0.081385  1.216123  1.039721 6.92563E-09
 zr  40   2.547072  0.017072  1.314580  1.138178 1.86249E-08
 nb  41   1.358113 -0.051887  1.245621  1.069219 1.22764E-09
 mo  42   1.684739 -0.255261  1.042247  0.865844 2.68938E-09
 tc  43   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 ru  44   1.329212 -0.430788  0.866720  0.690317 1.24953E-09
 rh  45   0.326075 -0.733925  0.563582  0.387180 1.26307E-10
 pd  46   1.352783 -0.297217  1.000291  0.823888 1.38906E-09
 ag  47   0.599599 -0.600401  0.697107  0.520704 2.48545E-10
 cd  48   1.555084 -0.154916  1.142592  0.966189 2.33779E-09
 in  49   0.438242 -0.321758  0.975750  0.799347 1.82459E-10
 sn  50   2.026960 -0.043040  1.254468  1.078066 7.31747E-09
 sb  51   0.522700 -0.487300  0.810208  0.633806 2.35027E-10
 te  52   1.614717 -0.565284  0.732224  0.555822 3.04425E-09
  i  53   0.618909 -0.931091  0.366417  0.190014 3.05702E-10
 xe  54   1.761016 -0.478984  0.818524  0.642121 4.38704E-09
 cs  55   0.552544 -0.527456  0.770051  0.593649 2.74789E-10
 ba  56   2.486265  0.306265  1.603773  1.427370 2.43744E-08
 la  57   1.473095  0.303095  1.600603  1.424200 2.39183E-09
 ce  58   1.953791  0.373791  1.671298  1.494896 7.29780E-09
 pr  59   0.929099  0.169099  1.466607  1.290204 6.93343E-10
 nd  60   1.684601  0.234601  1.532109  1.355706 4.04203E-09
 pm  61   0.000000 -9.000000  0.000000  0.000000 9.11041E-34
 sm  62   0.891585 -0.048415  1.249093  1.072690 6.78627E-10
 eu  63  -0.121088 -0.631088  0.666420  0.490017 6.66141E-11
 gd  64   0.745824 -0.304176  0.993332  0.816929 5.07374E-10
 tb  65  -0.185287 -0.505287  0.792220  0.615818 6.00922E-11
