# Minitial =  1.25 msun, Z = 0.0016, Mfinal = 0.646 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.0702726E-08  2.1395167E-08  1.0692441E-08  3.5422463E-08  1.7704558E-08  3.0119365E-01
    p32     32   9.6426447E-20  9.6426447E-20  0.0000000E+00  1.5964644E-19  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -1.3333192E-08  2.7709551E-05  2.7722885E-05  4.5876743E-05  4.5903591E-05 -2.5409332E-04
    s33     33   1.4926433E-09  1.1621648E-08  1.0129004E-08  1.9241140E-08  1.6771621E-08  5.9655789E-02
    s34     34   4.2752646E-10  4.7247582E-08  4.6820055E-08  7.8224474E-08  7.7524717E-08  3.9024814E-03
    s35     35   8.6279778E-10  8.6279778E-10  0.0000000E+00  1.4284732E-09  0.0000000E+00  0.0000000E+00
   fe54     54  -2.4449065E-10  9.2707097E-08  9.2951588E-08  1.5348859E-07  1.5390937E-07 -1.1889637E-03
   fe55     55   4.3117489E-11  4.3117489E-11  0.0000000E+00  7.1386577E-11  0.0000000E+00  0.0000000E+00
   fe56     56  -4.8541551E-08  3.3087403E-05  3.3135944E-05  5.4780470E-05  5.4866541E-05 -6.8182778E-04
   fe57     57   1.0718566E-08  3.0169144E-07  2.9097288E-07  4.9948915E-07  4.8179334E-07  1.5665289E-02
   fe58     58   1.6754566E-08  1.6754585E-08  1.9771206E-14  2.7739381E-08  3.2737190E-14  5.9280553E+00
   fe59     59   2.9625271E-40  2.9625271E-40  0.0000000E+00  4.9048529E-40  0.0000000E+00  0.0000000E+00
   fe60     60   3.1813088E-10  3.1813088E-10  0.0000000E+00  5.2670679E-10  0.0000000E+00  0.0000000E+00
   co59     59   4.1073989E-09  9.5007337E-08  9.0899938E-08  1.5729692E-07  1.5051225E-07  1.9148376E-02
   co60     60   1.1179805E-15  1.1179805E-15  0.0000000E+00  1.8509612E-15  0.0000000E+00  0.0000000E+00
   ni58     58  -4.8363518E-09  1.8172743E-06  1.8221107E-06  3.0087324E-06  3.0170536E-06 -1.1994503E-03
   ni59     59   1.0614635E-10  1.0614635E-10  0.0000000E+00  1.7573899E-10  0.0000000E+00  0.0000000E+00
   ni60     60   3.5383436E-09  5.1035540E-09  1.5652104E-09  8.4495930E-09  2.5916778E-09  5.1325476E-01
   ni61     61   1.3969155E-09  1.3994068E-09  2.4913203E-12  2.3168989E-09  4.1251317E-12  2.7494693E+00
   ni62     62   4.2409125E-09  4.2409147E-09  2.1824126E-15  7.0213821E-09  3.6136420E-15  6.2884774E+00
   ni63     63   3.3455590E-13  3.3455590E-13  0.0000000E+00  5.5390051E-13  0.0000000E+00  0.0000000E+00
   ni64     64   1.9637707E-09  1.9637743E-09  3.6192049E-15  3.2512821E-09  5.9926844E-15  5.7344332E+00
   cu63     63   9.5262531E-10  3.5495620E-09  2.5969367E-09  5.8767586E-09  4.3000115E-09  1.3566825E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   4.6393644E-10  3.6414642E-09  3.1775278E-09  6.0289147E-09  5.2613554E-09  5.9141487E-02
   zn64     64  -5.4605209E-12  4.7129628E-08  4.7135089E-08  7.8029188E-08  7.8046348E-08 -9.5503834E-05
   zn65     65   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn66     66   4.1394846E-10  4.1537732E-10  1.4288633E-12  6.8771083E-10  2.3659139E-12  2.4634070E+00
   zn67     67   8.3990911E-11  8.4319648E-11  3.2873975E-13  1.3960208E-10  5.4432771E-13  2.4090314E+00
   zn68     68   3.8935535E-10  4.5057874E-10  6.1223381E-11  7.4599132E-10  1.0137376E-10  8.6680818E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   1.4242317E-12  1.4242317E-12  0.0000000E+00  2.3579996E-12  0.0000000E+00  0.0000000E+00
   ga69     69   4.9831250E-11  1.8435304E-09  1.7936992E-09  3.0522029E-09  2.9700096E-09  1.1855554E-02
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   5.4144134E-11  1.0723806E-09  1.0182365E-09  1.7754647E-09  1.6859976E-09  2.2455106E-02
   ge70     70   8.8481333E-11  7.6620044E-10  6.7771910E-10  1.2685438E-09  1.1221682E-09  5.3247515E-02
