# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   2.6517150E-06  2.7482699E-06  9.6554871E-08  5.0389986E-07  1.7704558E-08  1.4542592E+00
    p32     32   2.9983202E-13  2.9983202E-13  0.0000000E+00  5.4974702E-14  0.0000000E+00  0.0000000E+00
    p33     33  -2.1782176E-18 -2.1782176E-18  0.0000000E+00 -3.9937983E-19  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -2.4418987E-06  2.4790128E-04  2.5034318E-04  4.5453111E-05  4.5903591E-05 -4.2830459E-03
    s33     33   7.0430161E-08  1.6189709E-07  9.1466930E-08  2.9684102E-08  1.6771621E-08  2.4794891E-01
    s34     34   1.1212688E-07  5.3492136E-07  4.2279447E-07  9.8078722E-08  7.7524717E-08  1.0213460E-01
    s35     35   1.7478968E-07  1.7478968E-07  0.0000000E+00  3.2047978E-08  0.0000000E+00  0.0000000E+00
   fe54     54  -1.7323146E-08  8.2204815E-07  8.3937130E-07  1.5072391E-07  1.5390937E-07 -9.0829143E-03
   fe55     55   2.6898466E-09  2.6898466E-09  0.0000000E+00  4.9318788E-10  0.0000000E+00  0.0000000E+00
   fe56     56  -5.0640956E-06  2.9416007E-04  2.9922416E-04  5.3934738E-05  5.4866541E-05 -7.4390126E-03
   fe57     57   1.3721024E-07  2.7647534E-06  2.6275432E-06  5.0692216E-07  4.8179334E-07  2.2080470E-02
   fe58     58   4.7885749E-07  4.7885766E-07  1.7853793E-13  8.7799350E-08  3.2737190E-14  6.4284501E+00
   fe59     59  -2.8425322E-19 -2.8425322E-19  0.0000000E+00 -5.2118305E-20  0.0000000E+00  0.0000000E+00
   fe60     60   1.1712139E-06  1.1712139E-06  0.0000000E+00  2.1474402E-07  0.0000000E+00  0.0000000E+00
   co59     59   2.2876685E-07  1.0496115E-06  8.2084460E-07  1.9244801E-07  1.5051225E-07  1.0674158E-01
   co60     60   3.7370202E-12  3.7370202E-12  0.0000000E+00  6.8518888E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -3.1180207E-07  1.6142221E-05  1.6454023E-05  2.9597031E-06  3.0170536E-06 -8.3348686E-03
   ni59     59   3.4512335E-10  3.4512335E-10  0.0000000E+00  6.3278945E-11  0.0000000E+00  0.0000000E+00
   ni60     60   1.4491683E-07  1.5905098E-07  1.4134162E-08  2.9162264E-08  2.5916778E-09  1.0512402E+00
   ni61     61   1.5797995E-07  1.5800245E-07  2.2497120E-11  2.8970012E-08  4.1251317E-12  3.8465109E+00
   ni62     62   8.3999271E-07  8.3999271E-07  1.9707621E-14  1.5401406E-07  3.6136420E-15  7.6296153E+00
   ni63     63   2.3248392E-09  2.3248392E-09  0.0000000E+00  4.2626314E-10  0.0000000E+00  0.0000000E+00
   ni64     64   8.4336187E-07  8.4336193E-07  3.2682139E-14  1.5463182E-07  5.9926844E-15  7.4116774E+00
   cu63     63   3.2158096E-07  3.4503182E-07  2.3450857E-08  6.3262164E-08  4.3000115E-09  1.1676744E+00
   cu64     64   5.9375020E-37  5.9375020E-37  0.0000000E+00  1.0886510E-37  0.0000000E+00  0.0000000E+00
   cu65     65   1.6974938E-07  1.9844309E-07  2.8693711E-08  3.6384872E-08  5.2613554E-09  8.3982325E-01
   zn64     64  -8.7508738E-09  4.1688838E-07  4.2563926E-07  7.6437182E-08  7.8046348E-08 -9.0479190E-03
   zn65     65  -4.3680437E-17 -4.3680437E-17  0.0000000E+00 -8.0088810E-18  0.0000000E+00  0.0000000E+00
   zn66     66   1.7887947E-07  1.7889238E-07  1.2902921E-11  3.2800216E-08  2.3659139E-12  4.1418777E+00
   zn67     67   3.9969073E-08  3.9972043E-08  2.9685852E-12  7.3289410E-09  5.4432771E-13  4.1291809E+00
   zn68     68   2.7168005E-07  2.7223291E-07  5.5285937E-10  4.9914359E-08  1.0137376E-10  2.6922998E+00
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   2.0682993E-09  2.0682993E-09  0.0000000E+00  3.7922612E-10  0.0000000E+00  0.0000000E+00
   ga69     69   3.7355239E-08  5.3552700E-08  1.6197461E-08  9.8189767E-09  2.9700096E-09  5.1930839E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
