# M_ini =  1.70 Msun, Z = 0.0011, Y = 0.24, M_pmz = 4.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.662 Msun, M_yield(all) = 1.038 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.379709   7.182171E-01   6.916678E-01
 he   2   11.025067   0.095067   1.474777   3.042885E-01   2.930403E-01
  c   6    9.166929   0.696929   2.076639   1.265830E-02   1.219038E-02
  n   7    7.052174  -0.817826   0.561883   1.133937E-04   1.092020E-04
  o   8    8.001773  -0.728227   0.651482   1.154257E-03   1.111589E-03
  f   9    5.297526   0.877526   2.257236   2.707295E-06   2.607218E-06
 ne  10    8.028042   0.058042   1.437752   1.670372E-03   1.608626E-03
 na  11    6.118317  -0.121683   1.258026   2.169203E-05   2.089017E-05
 mg  12    6.777735  -0.862265   0.517444   1.043718E-04   1.005136E-04
 al  13    5.183413  -1.266587   0.113122   2.958231E-06   2.848878E-06
 si  14    6.556825  -0.993175   0.386534   7.261157E-05   6.992744E-05
  p  15    4.389215  -1.020785   0.358924   5.455472E-07   5.253808E-07
  s  16    5.786633  -1.363367   0.016342   1.410574E-05   1.358431E-05
 cl  17    3.905902  -1.324098   0.055611   2.063114E-07   1.986850E-07
 ar  18    5.061035  -1.378965   0.000744   3.003082E-06   2.892071E-06
  k  19    3.728216  -1.351784   0.027925   1.504699E-07   1.449077E-07
 ca  20    4.909095  -1.380905  -0.001196   2.338007E-06   2.251582E-06
 sc  21    1.849702  -1.200298   0.179411   2.286493E-09   2.201972E-09
 ti  22    3.586765  -1.323235   0.056475   1.335151E-07   1.285796E-07
  v  23    2.586788  -1.373212   0.006498   1.414537E-08   1.362247E-08
 cr  24    4.244905  -1.395095  -0.015385   6.585208E-07   6.341782E-07
 mn  25    4.117885  -1.362115   0.017595   5.182075E-07   4.990517E-07
 fe  26    6.160291  -1.379709   0.000000   5.809886E-05   5.595120E-05
 co  27    3.660486  -1.209514   0.170195   1.939072E-07   1.867393E-07
 ni  28    4.844186  -1.355814   0.023896   2.960564E-06   2.851125E-06
 cu  29    3.194604  -1.055396   0.324313   7.178252E-08   6.912904E-08
