# M_ini =  2.36 Msun, Z = 0.0006, Y = 0.35, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.35, [alpha/Fe] = 0.0
# M_remnant = 0.818 Msun, M_yield(all) = 1.542 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.332249   9.622409E-01   6.240694E-01
 he   2   11.168995   0.238995   1.571243   5.679332E-01   3.683378E-01
  c   6    8.934693   0.464693   1.796942   9.936339E-03   6.444296E-03
  n   7    7.027645  -0.842355   0.489894   1.435700E-04   9.311352E-05
  o   8    7.645938  -1.084062   0.248186   6.814277E-04   4.419457E-04
  f   9    4.842017   0.422017   1.754265   1.270732E-06   8.241439E-07
 ne  10    7.511555  -0.458445   0.873803   6.786830E-04   4.401655E-04
 na  11    5.516984  -0.723016   0.609233   7.277726E-06   4.720030E-06
 mg  12    6.533686  -1.106314   0.225935   8.121833E-05   5.267482E-05
 al  13    5.256047  -1.193953   0.138296   4.684840E-06   3.038392E-06
 si  14    6.245447  -1.304553   0.027696   4.761599E-05   3.088175E-05
  p  15    4.352505  -1.057495   0.274753   6.716613E-07   4.356115E-07
  s  16    5.832555  -1.317445   0.014803   2.100716E-05   1.362437E-05
 cl  17    3.927438  -1.302562   0.029686   2.897350E-07   1.879100E-07
 ar  18    5.108071  -1.331929   0.000319   4.483344E-06   2.907710E-06
  k  19    3.763307  -1.316693   0.015556   2.184117E-07   1.416527E-07
 ca  20    4.955835  -1.334165  -0.001916   3.487620E-06   2.261925E-06
 sc  21    1.864054  -1.185946   0.146302   3.166287E-09   2.053522E-09
 ti  22    3.595209  -1.314791   0.017457   1.818772E-07   1.179580E-07
  v  23    2.629843  -1.330157   0.002092   2.092652E-08   1.357207E-08
 cr  24    4.290263  -1.349737  -0.017489   9.793520E-07   6.351669E-07
 mn  25    4.144315  -1.335685  -0.003437   7.378387E-07   4.785314E-07
 fe  26    6.207751  -1.332249   0.000000   8.683544E-05   5.631785E-05
 co  27    3.818105  -1.051895   0.280354   3.734574E-07   2.422089E-07
 ni  28    4.895486  -1.304514   0.027735   4.462301E-06   2.894062E-06
 cu  29    3.235366  -1.014634   0.317615   1.051151E-07   6.817329E-08
 zn  30    3.404232  -1.225768   0.106481   1.607549E-07   1.042589E-07
 ga  31    2.156452  -0.923548   0.408701   9.642087E-09   6.253456E-09
 ge  32    2.625875  -0.954125   0.378124   2.941112E-08   1.907483E-08
 as  33    1.258540  -1.041460   0.290789   1.308835E-09   8.488562E-10
 se  34    2.561557  -0.778443   0.553805   2.760044E-08   1.790050E-08
 br  35    1.546860  -0.993140   0.339109   2.724904E-09   1.767259E-09
 kr  36    3.043023  -0.206977   1.125272   9.060496E-08   5.876260E-08
 rb  37    2.324217  -0.195783   1.136465   1.752602E-08   1.136665E-08
 sr  38    2.792132  -0.087868   1.244381   5.238299E-08   3.397343E-08
  y  39    2.251248   0.041248   1.373497   1.527293E-08   9.905385E-09
 zr  40    2.707867   0.177867   1.510115   4.539469E-08   2.944111E-08
 nb  41    1.505770   0.095770   1.428018   2.867719E-09   1.859883E-09
 mo  42    1.881518  -0.058482   1.273766   7.081217E-09   4.592582E-09
 ru  44    1.477043  -0.282957   1.049292   2.910175E-09   1.887418E-09
 rh  45    0.393286  -0.666714   0.665535   2.451361E-10   1.589851E-10
 pd  46    1.368852  -0.281148   1.051100   2.386899E-09   1.548043E-09
 ag  47    0.586420  -0.613580   0.718668   4.015932E-10   2.604566E-10
 cd  48    1.540095  -0.169905   1.162343   3.750808E-09   2.432618E-09
 in  49    0.435358  -0.324642   1.007606   3.015363E-10   1.955639E-10
 sn  50    2.102953   0.032953   1.365202   1.446744E-08   9.382980E-09
 sb  51    0.628531  -0.381469   0.950780   4.949948E-10   3.210330E-10
 te  52    1.738630  -0.441370   0.890879   6.575910E-09   4.264861E-09
  i  53    0.691150  -0.858850   0.473398   6.001191E-10   3.892123E-10
 xe  54    1.951383  -0.288617   1.043632   1.130866E-08   7.334323E-09
 cs  55    0.671248  -0.408752   0.923496   6.003203E-10   3.893428E-10
 ba  56    2.660660   0.480660   1.812908   6.061850E-08   3.931463E-08
 la  57    1.629653   0.459653   1.791901   5.701005E-09   3.697434E-09
 ce  58    2.150628   0.570628   1.902876   1.908935E-08   1.238056E-08
 pr  59    1.103590   0.343590   1.675839   1.722239E-09   1.116972E-09
 nd  60    1.831043   0.381043   1.713292   9.371369E-09   6.077880E-09
 sm  62    1.064031   0.124031   1.456280   1.665227E-09   1.079997E-09
 eu  63    0.018624  -0.491376   0.840873   1.527169E-10   9.904585E-11
 gd  64    0.913667  -0.136333   1.195916   1.237580E-09   8.026428E-10
 tb  65   -0.027698  -0.347698   0.984550   1.435432E-10   9.309613E-11
 dy  66    1.068273  -0.061727   1.270521   1.832538E-09   1.188508E-09
 ho  67    0.047563  -0.422437   0.909812   1.771458E-10   1.148894E-10
 er  68    0.888966  -0.031034   1.301215   1.248467E-09   8.097039E-10
 tm  69   -0.051647  -0.171647   1.160601   1.443854E-10   9.364235E-11
 yb  70    1.229386   0.309386   1.641635   2.821388E-09   1.829834E-09
 lu  71    0.293353   0.203353   1.535602   3.316688E-10   2.151066E-10
 hf  72    1.161321   0.451321   1.783570   2.499098E-09   1.620811E-09
 ta  73    0.205517   0.325517   1.657766   2.795628E-10   1.813128E-10
  w  74    1.133422   0.483422   1.815670   2.406161E-09   1.560536E-09
 re  75    0.202276  -0.057724   1.274525   2.848715E-10   1.847558E-10
 os  76    1.093931  -0.256069   1.076179   2.256915E-09   1.463741E-09
 ir  77    0.461546  -0.858454   0.473794   5.351100E-10   3.470501E-10
 pt  78    1.162447  -0.457553   0.874696   2.726693E-09   1.768420E-09
 au  79    0.378934  -0.421066   0.911183   4.536120E-10   2.941939E-10
 hg  80    1.628225   0.458225   1.790474   8.194878E-09   5.314856E-09
 tl  81    1.454530   0.684530   2.016779   5.601334E-09   3.632792E-09
 pb  82    3.476340   1.436340   2.768588   5.982507E-07   3.880005E-07
 bi  83    1.935049   1.285049   2.617298   1.731727E-08   1.123126E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
   -0.3737   1.3760   1.8052   0.4292   0.9633      1.6217      9.2468
