# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   4.0877680E-07  4.4099687E-07  3.2220068E-08  2.4230599E-07  1.7704558E-08  1.1362791E+00
    p32     32   1.1935777E-15  1.1935777E-15  0.0000000E+00  6.5581198E-16  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -6.2983599E-07  8.2908926E-05  8.3538762E-05  4.5554356E-05  4.5903591E-05 -3.3167440E-03
    s33     33   6.4208976E-08  9.4731220E-08  3.0522241E-08  5.2050122E-08  1.6771621E-08  4.9184674E-01
    s34     34   2.2090873E-08  1.6317613E-07  1.4108525E-07  8.9657213E-08  7.7524717E-08  6.3145049E-02
    s35     35   2.7538421E-08  2.7538421E-08  0.0000000E+00  1.5131000E-08  0.0000000E+00  0.0000000E+00
   fe54     54  -1.0893757E-08  2.6920196E-07  2.8009572E-07  1.4791317E-07  1.5390937E-07 -1.7258205E-02
   fe55     55   1.5729980E-09  1.5729980E-09  0.0000000E+00  8.6428464E-10  0.0000000E+00  0.0000000E+00
   fe56     56  -2.2507811E-06  9.7599426E-05  9.9850207E-05  5.3626060E-05  5.4866541E-05 -9.9316891E-03
   fe57     57   5.4392763E-07  1.4207309E-06  8.7680326E-07  7.8062141E-07  4.8179334E-07  2.0957966E-01
   fe58     58   9.0940080E-07  9.0940085E-07  5.9577573E-14  4.9967082E-07  3.2737190E-14  7.1836424E+00
   fe59     59  -8.6390050E-42 -8.6390050E-42  0.0000000E+00 -4.7461979E-42  0.0000000E+00  0.0000000E+00
   fe60     60   4.2952745E-08  4.2952745E-08  0.0000000E+00  2.3600411E-08  0.0000000E+00  0.0000000E+00
   co59     59   2.0578801E-07  4.7970138E-07  2.7391337E-07  2.6357219E-07  1.5051225E-07  2.4332775E-01
   co60     60   1.5094523E-13  1.5094523E-13  0.0000000E+00  8.2936940E-14  0.0000000E+00  0.0000000E+00
   ni58     58  -2.2002223E-07  5.2706364E-06  5.4906586E-06  2.8959541E-06  3.0170536E-06 -1.7791338E-02
   ni59     59   3.4665639E-09  3.4665639E-09  0.0000000E+00  1.9047055E-09  0.0000000E+00  0.0000000E+00
   ni60     60   1.4030927E-07  1.4502579E-07  4.7165276E-09  7.9684504E-08  2.5916778E-09  1.4877930E+00
   ni61     61   6.0027645E-08  6.0035156E-08  7.5072214E-12  3.2986350E-08  4.1251317E-12  3.9028964E+00
   ni62     62   1.3608670E-07  1.3608670E-07  6.5763744E-15  7.4772913E-08  3.6136420E-15  7.3157992E+00
   ni63     63   4.2980289E-10  4.2980289E-10  0.0000000E+00  2.3615543E-10  0.0000000E+00  0.0000000E+00
   ni64     64   4.1343636E-08  4.1343647E-08  1.0905932E-14  2.2716291E-08  5.9926844E-15  6.5787158E+00
   cu63     63   2.7655485E-08  3.5480966E-08  7.8254807E-09  1.9495037E-08  4.3000115E-09  6.5645444E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   9.2578842E-09  1.8832889E-08  9.5750048E-09  1.0347741E-08  5.2613554E-09  2.9374793E-01
   zn64     64  -5.0258961E-09  1.3700864E-07  1.4203454E-07  7.5279473E-08  7.8046348E-08 -1.5676025E-02
   zn65     65   1.1240418E-39  1.1240418E-39  0.0000000E+00  6.1760548E-40  0.0000000E+00  0.0000000E+00
   zn66     66   1.1361601E-08  1.1365907E-08  4.3056656E-12  6.2450041E-09  2.3659139E-12  3.4215338E+00
   zn67     67   2.5229892E-09  2.5239797E-09  9.9060799E-13  1.3868021E-09  5.4432771E-13  3.4061542E+00
   zn68     68   1.4777770E-08  1.4962257E-08  1.8448751E-10  8.2210203E-09  1.0137376E-10  1.9090002E+00
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   7.0647023E-11  7.0647023E-11  0.0000000E+00  3.8817047E-11  0.0000000E+00  0.0000000E+00
   ga69     69   1.8477850E-09  7.2528290E-09  5.4050440E-09  3.9850709E-09  2.9700096E-09  1.2767822E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   1.7981532E-09  4.8664566E-09  3.0683034E-09  2.6738773E-09  1.6859976E-09  2.0028453E-01
