  nd150    1.1854E-12    150
  sm144    2.0097E-13    144
  sm147    9.8128E-13    147
  sm148    7.3579E-13    148
  sm149    9.0469E-13    149
  sm150    4.8311E-13    150
  sm152    1.7511E-12    152
  sm154    1.4893E-12    154
  eu151    1.1628E-12    151
  eu153    1.2693E-12    153
  gd152    1.6866E-14    152
  gd154    1.8384E-13    154
  gd155    1.2481E-12    155
  gd156    1.7263E-12    156
  gd157    1.3198E-12    157
  gd158    2.0948E-12    158
  gd160    1.8435E-12    160
  tb159    1.5703E-12    159
  dy156    5.6778E-15    156
  dy158    9.6319E-15    158
  dy160    2.3613E-13    160
  dy161    1.9151E-12    161
  dy162    2.5829E-12    162
  dy163    2.5242E-12    163
  dy164    2.8653E-12    164
  ho165    2.2181E-12    165
  er162    8.6897E-15    162
  er164    1.0009E-13    164
  er166    2.0945E-12    166
  er167    1.4297E-12    167
  er168    1.6866E-12    168
  er170    9.3211E-13    170
  tm169    9.9081E-13    169
  yb168    7.5019E-15    168
  yb170    1.8630E-13    170
  yb171    8.8085E-13    171
  yb172    1.3560E-12    172
  yb173    1.0065E-12    173
  yb174    2.0024E-12    174
  yb176    8.1271E-13    176
  lu175    8.9860E-13    175
  lu176    2.6081E-14    176
  hf174    6.2446E-15    174
  hf176    2.0068E-13    176
  hf177    7.1721E-13    177
  hf178    1.0522E-12    178
  hf179    5.2536E-13    179
  hf180    1.3530E-12    180
  ta180    6.8418E-17    180
  ta181    5.7008E-13    181
   w180    4.0288E-16    180
   w182    8.8968E-13    182
   w183    4.8043E-13    183
   w184    1.0287E-12    184
   w186    9.5448E-13    186
  re185    4.8775E-13    185
  re187    8.7995E-13    187
  os184    3.3653E-15    184
  os186    2.6889E-13    186
  os187    2.1386E-13    187
  os188    2.2441E-12    188
  os189    2.7361E-12    189
  os190    4.4496E-12    190
  os192    6.9106E-12    192
  ir191    5.8573E-12    191
  ir193    9.8459E-12    193
  pt190    4.3865E-15    190
  pt192    2.4502E-13    192
  pt194    1.0329E-11    194
  pt195    1.0600E-11    195
  pt196    7.9089E-12    196
  pt198    2.2443E-12    198
  au197    4.7423E-12    197
  hg196    1.6676E-14    196
  hg198    1.1084E-12    198
  hg199    1.8754E-12    199
  hg200    2.5680E-12    200
  hg201    1.4652E-12    201
  hg202    3.3196E-12    202
  hg204    7.6374E-13    204
  tl203    1.3067E-12    203
  tl205    3.1191E-12    205
  pb204    1.6458E-12    204
  pb206    1.5314E-11    206
  pb207    1.6946E-11    207
  pb208    4.8506E-11    208
  bi209    3.3573E-12    209
