# M_ini =  5.00 Msun, Z = 0.0011, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.940 Msun, M_yield(all) = 4.060 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.332498   2.470824E+00   6.086151E-01
 he   2   11.183953   0.253953   1.586451   1.509576E+00   3.718397E-01
  c   6    8.080826  -0.389174   0.943324   3.623870E-03   8.926340E-04
  n   7    9.302880   1.432880   2.765379   6.947860E-02   1.711402E-02
  o   8    7.392806  -1.337194  -0.004695   9.769143E-04   2.406342E-04
  f   9    3.222362  -1.197638   0.134861   7.833537E-08   1.929562E-08
 ne  10    7.785877  -0.184123   1.148375   3.259792E-03   8.029541E-04
 na  11    6.147053  -0.092947   1.239551   7.973010E-05   1.963917E-05
 mg  12    7.255941  -0.384059   0.948439   1.136023E-03   2.798261E-04
 al  13    6.289496  -0.160504   1.171995   1.299277E-04   3.200389E-05
 si  14    6.679003  -0.870997   0.461501   3.319334E-04   8.176205E-05
  p  15    4.835223  -0.574777   0.757721   5.241150E-06   1.291004E-06
  s  16    5.838252  -1.311748   0.020751   5.468894E-05   1.347102E-05
 cl  17    3.964990  -1.265010   0.067488   8.130014E-07   2.002591E-07
 ar  18    5.112733  -1.327267   0.005231   1.165351E-05   2.870501E-06
  k  19    3.811773  -1.268227   0.064272   6.272949E-07   1.545157E-07
 ca  20    4.954143  -1.335857  -0.003358   8.927205E-06   2.198955E-06
 sc  21    2.124783  -0.925217   0.407282   1.481964E-08   3.650384E-09
 ti  22    3.611908  -1.298092   0.034406   4.855618E-07   1.196039E-07
  v  23    2.630363  -1.329637   0.002861   5.379910E-08   1.325183E-08
 cr  24    4.288616  -1.351384  -0.018886   2.505856E-06   6.172441E-07
 mn  25    4.141819  -1.338181  -0.005682   1.883753E-06   4.640073E-07
 fe  26    6.207502  -1.332498   0.000000   2.230421E-04   5.493988E-05
 co  27    3.929112  -0.940888   0.391611   1.238244E-06   3.050051E-07
 ni  28    5.020607  -1.179393   0.153105   1.552035E-05   3.822982E-06
