# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.3166206E-06  1.3636408E-06  4.7020190E-08  5.1341891E-07  1.7704558E-08  1.4623868E+00
    p32     32   4.8738555E-15  4.8738555E-15  0.0000000E+00  1.8350359E-15  0.0000000E+00  0.0000000E+00
    p33     33   1.0030450E-26  1.0030450E-26  0.0000000E+00  3.7765244E-27  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -7.2195689E-07  1.2118991E-04  1.2191186E-04  4.5628727E-05  4.5903591E-05 -2.6082953E-03
    s33     33   3.7533617E-08  8.2076092E-08  4.4542475E-08  3.0902143E-08  1.6771621E-08  2.6541358E-01
    s34     34   6.4719288E-08  2.7061131E-07  2.0589202E-07  1.0188678E-07  7.7524717E-08  1.1867767E-01
    s35     35   2.6599477E-07  2.6599477E-07  0.0000000E+00  1.0014863E-07  0.0000000E+00  0.0000000E+00
   fe54     54  -7.9565154E-09  4.0079968E-07  4.0875619E-07  1.5090349E-07  1.5390937E-07 -8.5657686E-03
   fe55     55   1.1296077E-10  1.1296077E-10  0.0000000E+00  4.2530406E-11  0.0000000E+00  0.0000000E+00
   fe56     56  -2.4842593E-06  1.4323162E-04  1.4571588E-04  5.3927564E-05  5.4866541E-05 -7.4967649E-03
   fe57     57   9.1837478E-08  1.3713958E-06  1.2795583E-06  5.1633873E-07  4.8179334E-07  3.0073898E-02
   fe58     58   5.6290196E-07  5.6290207E-07  8.6944225E-14  2.1193601E-07  3.2737190E-14  6.8111634E+00
   fe59     59   2.3793500E-29  2.3793500E-29  0.0000000E+00  8.9583954E-30  0.0000000E+00  0.0000000E+00
   fe60     60   4.8412255E-07  4.8412255E-07  0.0000000E+00  1.8227504E-07  0.0000000E+00  0.0000000E+00
   co59     59   2.1890372E-07  6.1863778E-07  3.9973406E-07  2.3292084E-07  1.5051225E-07  1.8963651E-01
   co60     60   1.6668201E-12  1.6668201E-12  0.0000000E+00  6.2756777E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -1.5653586E-07  7.8562289E-06  8.0127647E-06  2.9579173E-06  3.0170536E-06 -8.5970033E-03
   ni59     59   2.5930219E-10  2.5930219E-10  0.0000000E+00  9.7628829E-11  0.0000000E+00  0.0000000E+00
   ni60     60   1.2158080E-07  1.2846384E-07  6.8830404E-09  4.8367408E-08  2.5916778E-09  1.2709718E+00
   ni61     61   1.0573856E-07  1.0574952E-07  1.0955624E-11  3.9815330E-08  4.1251317E-12  3.9846125E+00
   ni62     62   3.6945244E-07  3.6945244E-07  9.5971975E-15  1.3910106E-07  3.6136420E-15  7.5853853E+00
   ni63     63   5.0035514E-11  5.0035514E-11  0.0000000E+00  1.8838672E-11  0.0000000E+00  0.0000000E+00
   ni64     64   2.0507440E-07  2.0507441E-07  1.5915517E-14  7.7211752E-08  5.9926844E-15  7.1100621E+00
   cu63     63   1.1449354E-07  1.2591362E-07  1.1420075E-08  4.7407234E-08  4.3000115E-09  1.0423750E+00
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   3.7293628E-08  5.1266863E-08  1.3973234E-08  1.9302282E-08  5.2613554E-09  5.6451106E-01
   zn64     64  -3.7584869E-09  2.0351889E-07  2.0727738E-07  7.6626087E-08  7.8046348E-08 -7.9759350E-03
   zn65     65   5.0822589E-24  5.0822589E-24  0.0000000E+00  1.9135010E-24  0.0000000E+00  0.0000000E+00
   zn66     66   3.5390556E-08  3.5396841E-08  6.2834512E-12  1.3327123E-08  2.3659139E-12  3.7507374E+00
   zn67     67   7.6691595E-09  7.6706055E-09  1.4456387E-12  2.8880289E-09  5.4432771E-13  3.7247412E+00
