# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   5.9242029E-06  5.9964686E-06  7.2265557E-08  1.4690027E-06  1.7704558E-08  1.9189376E+00
    p32     32   3.2532130E-14  3.2532130E-14  0.0000000E+00  7.9696551E-15  0.0000000E+00  0.0000000E+00
    p33     33   2.1054908E-18  2.1054908E-18  0.0000000E+00  5.1579886E-19  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -4.9879745E-06  1.8237896E-04  1.8736694E-04  4.4678829E-05  4.5903591E-05 -1.1744881E-02
    s33     33   1.1191759E-07  1.8037514E-07  6.8457545E-08  4.4187935E-08  1.6771621E-08  4.2072868E-01
    s34     34   2.3049336E-07  5.4692981E-07  3.1643646E-07  1.3398575E-07  7.7524717E-08  2.3761845E-01
    s35     35   3.3535267E-07  3.3535267E-07  0.0000000E+00  8.2154017E-08  0.0000000E+00  0.0000000E+00
   fe54     54  -3.2544676E-08  5.9567469E-07  6.2821937E-07  1.4592717E-07  1.5390937E-07 -2.3128886E-02
   fe55     55   7.8523849E-10  7.8523849E-10  0.0000000E+00  1.9236612E-10  0.0000000E+00  0.0000000E+00
   fe56     56  -1.0809570E-05  2.1314187E-04  2.2395144E-04  5.2215062E-05  5.4866541E-05 -2.1511776E-02
   fe57     57   1.3673707E-07  2.1032965E-06  1.9665595E-06  5.1526132E-07  4.8179334E-07  2.9166738E-02
   fe58     58   1.2524232E-06  1.2524233E-06  1.3362499E-13  3.0681610E-07  3.2737190E-14  6.9718366E+00
   fe59     59  -1.9408506E-22 -1.9408506E-22  0.0000000E+00 -4.7546565E-23  0.0000000E+00  0.0000000E+00
   fe60     60   2.4812427E-06  2.4812427E-06  0.0000000E+00  6.0784981E-07  0.0000000E+00  0.0000000E+00
   co59     59   5.4325278E-07  1.1576060E-06  6.1435321E-07  2.8358795E-07  1.5051225E-07  2.7511594E-01
   co60     60   5.5031574E-12  5.5031574E-12  0.0000000E+00  1.3481523E-12  0.0000000E+00  0.0000000E+00
   ni58     58  -6.3350763E-07  1.1681348E-05  1.2314856E-05  2.8616728E-06  3.0170536E-06 -2.2963058E-02
   ni59     59   5.5161247E-11  5.5161247E-11  0.0000000E+00  1.3513290E-11  0.0000000E+00  0.0000000E+00
   ni60     60   4.9771347E-07  5.0829203E-07  1.0578578E-08  1.2452035E-07  2.5916778E-09  1.6816593E+00
   ni61     61   3.9190945E-07  3.9192628E-07  1.6837753E-11  9.6013302E-08  4.1251317E-12  4.3668938E+00
   ni62     62   1.9507781E-06  1.9507781E-06  1.4749979E-14  4.7789769E-07  3.6136420E-15  8.1213894E+00
