# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   2.3936653E-07  2.8638672E-07  4.7020190E-08  1.0782632E-07  1.7704558E-08  7.8463972E-01
    p32     32   5.8357844E-16  5.8357844E-16  0.0000000E+00  2.1972078E-16  0.0000000E+00  0.0000000E+00
    p33     33   6.5685560E-28  6.5685560E-28  0.0000000E+00  2.4731008E-28  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -7.6764263E-07  1.2114422E-04  1.2191186E-04  4.5611527E-05  4.5903591E-05 -2.7720518E-03
    s33     33   3.1709639E-08  7.6252114E-08  4.4542475E-08  2.8709378E-08  1.6771621E-08  2.3344876E-01
    s34     34   2.6117348E-08  2.3200937E-07  2.0589202E-07  8.7352923E-08  7.7524717E-08  5.1837262E-02
    s35     35   1.7859294E-08  1.7859294E-08  0.0000000E+00  6.7241315E-09  0.0000000E+00  0.0000000E+00
   fe54     54  -7.3331421E-09  4.0142305E-07  4.0875619E-07  1.5113820E-07  1.5390937E-07 -7.8908354E-03
   fe55     55   3.6990760E-10  3.6990760E-10  0.0000000E+00  1.3927244E-10  0.0000000E+00  0.0000000E+00
   fe56     56  -2.0277657E-06  1.4368811E-04  1.4571588E-04  5.4099437E-05  5.4866541E-05 -6.1148410E-03
   fe57     57   1.8240667E-07  1.4619650E-06  1.2795583E-06  5.5043859E-07  4.8179334E-07  5.7848066E-02
   fe58     58   6.9342690E-07  6.9342701E-07  8.6944225E-14  2.6107944E-07  3.2737190E-14  6.9017315E+00
   fe59     59   3.8402047E-29  3.8402047E-29  0.0000000E+00  1.4458602E-29  0.0000000E+00  0.0000000E+00
   fe60     60   3.6046038E-07  3.6046038E-07  0.0000000E+00  1.3571550E-07  0.0000000E+00  0.0000000E+00
   co59     59   2.4720282E-07  6.4693688E-07  3.9973406E-07  2.4357561E-07  1.5051225E-07  2.0906197E-01
   co60     60   1.2308897E-12  1.2308897E-12  0.0000000E+00  4.6343739E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -1.4520083E-07  7.8675639E-06  8.0127647E-06  2.9621851E-06  3.0170536E-06 -7.9708202E-03
   ni59     59   1.1156295E-09  1.1156295E-09  0.0000000E+00  4.2004120E-10  0.0000000E+00  0.0000000E+00
   ni60     60   1.2425608E-07  1.3113912E-07  6.8830404E-09  4.9374666E-08  2.5916778E-09  1.2799232E+00
   ni61     61   9.2949996E-08  9.2960953E-08  1.0955624E-11  3.5000358E-08  4.1251317E-12  3.9286346E+00
   ni62     62   2.7800235E-07  2.7800235E-07  9.5971975E-15  1.0466955E-07  3.6136420E-15  7.4618754E+00
   ni63     63   4.3274943E-11  4.3274943E-11  0.0000000E+00  1.6293276E-11  0.0000000E+00  0.0000000E+00
   ni64     64   1.3595178E-07  1.3595179E-07  1.5915517E-14  5.1186667E-08  5.9926844E-15  6.9315352E+00
   cu63     63   8.2113452E-08  9.3533529E-08  1.1420075E-08  3.5215937E-08  4.3000115E-09  9.1326964E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   2.4054010E-08  3.8027245E-08  1.3973234E-08  1.4317486E-08  5.2613554E-09  4.3476915E-01
   zn64     64  -3.6705075E-09  2.0360687E-07  2.0727738E-07  7.6659212E-08  7.8046348E-08 -7.7882255E-03
   zn65     65  -2.5000821E-23 -2.5000821E-23  0.0000000E+00 -9.4129597E-24  0.0000000E+00  0.0000000E+00
   zn66     66   2.2305139E-08  2.2311422E-08  6.2834512E-12  8.4003844E-09  2.3659139E-12  3.5503001E+00
   zn67     67   4.7983426E-09  4.7997881E-09  1.4456387E-12  1.8071491E-09  5.4432771E-13  3.5211337E+00
   zn68     68   2.7227664E-08  2.7496895E-08  2.6923089E-10  1.0352746E-08  1.0137376E-10  2.0091300E+00
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   2.3989588E-10  2.3989588E-10  0.0000000E+00  9.0322243E-11  0.0000000E+00  0.0000000E+00
   ga69     69   3.6175178E-09  1.1505341E-08  7.8878228E-09  4.3318300E-09  2.9700096E-09  1.6391353E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   3.1521492E-09  7.6298621E-09  4.4777129E-09  2.8726890E-09  1.6859976E-09  2.3143166E-01
   ge70     70   5.4765383E-09  8.4568201E-09  2.9802816E-09  3.1840435E-09  1.1221682E-09  4.5292097E-01
   ge71     71   5.9057381E-36  5.9057381E-36  0.0000000E+00  2.2235458E-36  0.0000000E+00  0.0000000E+00
   ge72     72   4.9825619E-09  1.5913898E-08  1.0931336E-08  5.9916783E-09  4.1159862E-09  1.6307457E-01
   ge73     73   1.4435677E-09  5.1262568E-09  3.6826890E-09  1.9300666E-09  1.3866464E-09  1.4360657E-01
   ge74     74   6.0196932E-09  2.3727820E-08  1.7708127E-08  8.9336663E-09  6.6676575E-09  1.2705643E-01
   as75     75   5.2278071E-10  3.6828727E-09  3.1600920E-09  1.3866237E-09  1.1898724E-09  6.6458233E-02
   se76     76   1.9760582E-09  2.9804479E-09  1.0043897E-09  1.1221565E-09  3.7818382E-10  4.7235048E-01
   se77     77   7.4805095E-10  2.7839366E-09  2.0358857E-09  1.0481689E-09  7.6657397E-10  1.3587719E-01
   se78     78   4.7229052E-09  1.0371311E-08  5.6484057E-09  3.9048609E-09  2.1267994E-09  2.6387906E-01
   se79     79   9.6314667E-10  9.6314667E-10  0.0000000E+00  3.6263051E-10  0.0000000E+00  0.0000000E+00
   se80     80   5.2828124E-09  2.0833927E-08  1.5551114E-08  7.8440987E-09  5.8554761E-09  1.2698086E-01
   br79     79   1.0497397E-10  2.8615604E-10  1.8118207E-10  1.0773947E-10  6.8220651E-11  1.9845897E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   6.4098149E-10  5.6506115E-09  5.0096300E-09  2.1274891E-09  1.8862807E-09  5.2261006E-02
   kr80     80  -4.5373427E-12  2.2729835E-10  2.3183569E-10  8.5579190E-11  8.7293311E-11 -8.6127929E-03
   kr81     81   2.6334795E-14  2.6334795E-14  0.0000000E+00  9.9152084E-15  0.0000000E+00  0.0000000E+00
   kr82     82   2.3873405E-09  3.8320125E-09  1.4446719E-09  1.4427757E-09  5.4396371E-10  4.2362887E-01
   kr83     83   7.8680240E-10  3.4744900E-09  2.6876876E-09  1.3081664E-09  1.0119976E-09  1.1148351E-01
   kr84     84   4.7121915E-09  1.8013804E-08  1.3301612E-08  6.7823054E-09  5.0084683E-09  1.3167241E-01
   kr-5     85   4.5211531E-15  4.5211531E-15  0.0000000E+00  1.7022414E-15  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   7.2501263E-09  1.0134777E-08  2.8846503E-09  3.8158041E-09  1.0861602E-09  5.4569221E-01
   rb85     85   1.6170253E-09  3.4743204E-09  1.8572951E-09  1.3081025E-09  6.9932904E-10  2.7196023E-01
   rb86     86   1.4284048E-34  1.4284048E-34  0.0000000E+00  5.3780301E-35  0.0000000E+00  0.0000000E+00
   rb87     87   2.1804298E-09  2.7891858E-09  6.0875588E-10  1.0501452E-09  2.2921542E-10  6.6100550E-01
   sr86     86   7.9664159E-10  1.3119453E-09  5.1530374E-10  4.9395532E-10  1.9402781E-10  4.0582371E-01
   sr87     87   3.1839403E-10  6.7472827E-10  3.5633424E-10  2.5403923E-10  1.3417087E-10  2.7724257E-01
   sr88     88   3.3811700E-09  9.2238714E-09  5.8427014E-09  3.4728429E-09  2.1999580E-09  1.9827074E-01
   sr89     89   7.5624606E-31  7.5624606E-31  0.0000000E+00  2.8473118E-31  0.0000000E+00  0.0000000E+00
   sr90     90   2.5539134E-14  2.5539134E-14  0.0000000E+00  9.6156374E-15  0.0000000E+00  0.0000000E+00
    y89     89   7.3526674E-10  2.4112912E-09  1.6760244E-09  9.0786562E-10  6.3107508E-10  1.5794055E-01
    y90     90   6.4586498E-18  6.4586498E-18  0.0000000E+00  2.4317203E-18  0.0000000E+00  0.0000000E+00
    y91     91   2.1135088E-30  2.1135088E-30  0.0000000E+00  7.9574874E-31  0.0000000E+00  0.0000000E+00
   zr90     90   4.5317516E-10  2.2453919E-09  1.7922167E-09  8.4540352E-10  6.7482503E-10  9.7872853E-02
   zr91     91   1.2554638E-10  4.5060158E-10  3.2505520E-10  1.6965421E-10  1.2239335E-10  1.4180683E-01
   zr92     92   2.2272939E-10  9.1353325E-10  6.9080386E-10  3.4395076E-10  2.6010902E-10  1.2134087E-01
   zr93     93   7.0085299E-11  7.0085299E-11  0.0000000E+00  2.6387536E-11  0.0000000E+00  0.0000000E+00
