# M_ini =  2.36 Msun, Z = 0.0011, Y = 0.24, M_pmz = 2.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.693 Msun, M_yield(all) = 1.667 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.373077   1.137806E+00   6.824199E-01
 he   2   11.037579   0.107579   1.480656   4.961692E-01   2.975864E-01
  c   6    9.308696   0.838696   2.211774   2.779410E-02   1.667001E-02
  n   7    7.014502  -0.855498   0.517579   1.647052E-04   9.878493E-05
  o   8    7.930202  -0.799798   0.573279   1.550536E-03   9.299618E-04
  f   9    5.590591   1.170591   2.543668   8.421958E-06   5.051221E-06
 ne  10    8.127388   0.157388   1.530465   3.330429E-03   1.997485E-03
 na  11    6.086864  -0.153136   1.219941   3.196394E-05   1.917095E-05
 mg  12    6.843642  -0.796358   0.576719   1.942674E-04   1.165154E-04
 al  13    5.403643  -1.046357   0.326720   7.781704E-06   4.667217E-06
 si  14    6.566805  -0.983195   0.389883   1.177256E-04   7.060803E-05
  p  15    4.360319  -1.049681   0.323396   8.086284E-07   4.849895E-07
  s  16    5.791814  -1.358186   0.014892   2.261765E-05   1.356535E-05
 cl  17    3.923134  -1.306866   0.066212   3.404881E-07   2.042139E-07
 ar  18    5.065483  -1.374517  -0.001440   4.808081E-06   2.883733E-06
  k  19    3.738186  -1.341814   0.031263   2.439892E-07   1.463369E-07
 ca  20    4.911947  -1.378053  -0.004976   3.728251E-06   2.236086E-06
 sc  21    1.937039  -1.112961   0.260116   4.429142E-09   2.656457E-09
 ti  22    3.577525  -1.332475   0.040602   2.069954E-07   1.241492E-07
  v  23    2.582333  -1.377667  -0.004589   2.218052E-08   1.330317E-08
 cr  24    4.250938  -1.389062  -0.015984   1.058194E-06   6.346710E-07
 mn  25    4.121079  -1.358921   0.014156   8.270087E-07   4.960134E-07
 fe  26    6.166923  -1.373077   0.000000   9.350236E-05   5.607973E-05
