Isotope      A            Z            YIELD      
H            1            1            2.15690E+00  
He4          4            2            9.43380E-01  
C12          12           6            1.01440E-02  
C13          13           6            2.93600E-05  
C14          14           6            1.74600E-09  
N14          14           7            2.55890E-04  
N15          15           7            6.70910E-08  
O16          16           8            1.41720E-03  
O17          17           8            1.18850E-05  
O18          18           8            5.07240E-07  
F18          18           9            0.00000E+00  
F19          19           9            3.24430E-07  
Ne20         20           10           2.22190E-04  
Ne21         21           10           5.04970E-07  
Ne22         22           10           1.82760E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.50040E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.14100E-04  
Mg25         25           12           1.97320E-05  
Mg26         26           12           3.66240E-05  
Al26         26           13           8.70680E-09  
Al27         27           13           5.12110E-06  
Si28         28           14           1.52630E-04  
Si29         29           14           3.26810E-06  
Si30         30           14           2.99070E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           1.28540E-11  
P31          31           15           9.22640E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           7.77330E-05  
S33          33           16           2.12760E-07  
S34          34           16           1.35420E-06  
S35          35           16           0.00000E+00  
S36          36           16           1.62530E-08  
Cl35         35           17           2.54910E-07  
Cl36         36           17           2.64250E-10  
Cl37         37           17           9.77630E-08  
Ar36         36           18           1.77580E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.13790E-06  
Ar39         39           18           4.36550E-11  
Ar40         40           18           1.95940E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           2.49220E-07  
K40          40           19           4.77090E-10  
K41          41           19           2.12330E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           1.33320E-05  
Ca41         41           20           3.66070E-10  
Ca42         42           20           3.47880E-08  
Ca43         43           20           7.83300E-09  
Ca44         44           20           1.06970E-07  
Ca45         45           20           0.00000E+00  
Ca46         46           20           4.67520E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.00080E-08  
Sc45         45           21           4.90840E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.75700E-08  
Ti47         47           22           1.59480E-08  
Ti48         48           22           1.53940E-07  
Ti49         49           22           1.29880E-08  
Ti50         50           22           1.65670E-08  
V50          50           23           6.47350E-11  
V51          51           23           2.67830E-08  
Cr50         50           24           5.14890E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           1.03680E-06  
Cr53         53           24           1.19920E-07  
Cr54         54           24           3.58470E-08  
Mn55         55           25           9.04030E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           4.94310E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           8.06090E-05  
Fe57         57           26           1.93750E-06  
Fe58         58           26           4.37530E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.91890E-07  
Co59         59           27           3.14930E-07  
Co60         60           27           3.96820E-13  
Ni58         58           28           3.39810E-06  
Ni59         59           28           1.69380E-10  
Ni60         60           28           1.40050E-06  
Ni61         61           28           9.30860E-08  
Ni62         62           28           2.81470E-07  
Ni63         63           28           3.65990E-11  
Ni64         64           28           1.66740E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           9.56960E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           4.62980E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           7.09910E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           6.17840E-08  
Zn67         67           30           1.07120E-08  
Zn68         68           30           5.75840E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           1.61820E-09  
Ga69         69           31           6.75960E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           4.58510E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           9.28180E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.09870E-08  
Ge73         73           32           3.22400E-09  
Ge74         74           32           1.78240E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           2.13520E-09  
Ge77         77           32           0.00000E+00  
As75         75           33           2.05600E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           3.59520E-09  
Se77         77           34           1.83860E-09  
Se78         78           34           9.50010E-09  
Se79         79           34           1.22230E-09  
Se80         80           34           1.37690E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           2.17770E-09  
Br79         79           35           1.15830E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           2.39210E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           2.95010E-10  
Kr81         81           36           2.95280E-11  
Kr82         82           36           4.65860E-09  
Kr83         83           36           2.35900E-09  
Kr84         84           36           1.41420E-08  
Kr85         85           36           0.00000E+00  
Kr86         86           36           1.68070E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.04250E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           7.75230E-09  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.75390E-09  
Sr87         87           38           8.42630E-10  
Sr88         88           38           1.80580E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           2.76560E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           4.74480E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           4.02290E-09  
Zr91         91           40           1.19420E-09  
Zr92         92           40           1.89390E-09  
Zr93         93           40           5.96260E-10  
Zr94         94           40           2.30300E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.41070E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.44480E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           6.91580E-11  
Mo93         93           42           0.00000E+00  
Mo94         94           42           4.40950E-11  
Mo95         95           42           3.59380E-10  
Mo96         96           42           4.86210E-10  
Mo97         97           42           2.51320E-10  
Mo98         98           42           7.85750E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.33020E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           7.73510E-11  
Ru96         96           44           1.74030E-11  
Ru97         97           44           0.00000E+00  
Ru98         98           44           5.99130E-12  
Ru99         99           44           5.91260E-11  
Ru00         100          44           3.34040E-10  
Ru01         101          44           1.27340E-10  
Ru02         102          44           5.36640E-10  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.35660E-10  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           1.47200E-10  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.31920E-10  
Pd05         105          46           1.22800E-10  
Pd06         106          46           3.47980E-10  
Pd07         107          46           5.21180E-11  
Pd08         108          46           4.03080E-10  
Pd09         109          46           0.00000E+00  
Pd10         110          46           1.00650E-10  
Ag07         107          47           4.91690E-11  
Ag09         109          47           1.42830E-10  
Ag11         111          47           0.00000E+00  
Cd08         108          48           2.76520E-12  
Cd09         109          48           0.00000E+00  
Cd10         110          48           2.83400E-10  
Cd11         111          48           1.33310E-10  
Cd12         112          48           4.26950E-10  
Cd13         113          48           1.40180E-10  
Cd14         114          48           5.84510E-10  
Cd15         115          48           0.00000E+00  
Cd16         116          48           2.13520E-10  
In13         113          49           1.58540E-12  
In15         115          49           1.38230E-10  
Sn14         114          50           5.01960E-12  
Sn15         115          50           2.60470E-12  
