Isotope      A            Z            YIELD     
H            1            1            2.70310E+00  
He4          4            2            1.32880E+00  
C12          12           6            1.01020E-02  
C13          13           6            7.91730E-05  
C14          14           6            1.03790E-09  
N14          14           7            4.47840E-04  
N15          15           7            7.68310E-08  
O16          16           8            1.73130E-03  
O17          17           8            1.52730E-05  
O18          18           8            6.16560E-07  
F18          18           9            0.00000E+00  
F19          19           9            1.16050E-07  
Ne20         20           10           2.83400E-04  
Ne21         21           10           6.61260E-07  
Ne22         22           10           1.02340E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.54650E-05  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.48390E-04  
Mg25         25           12           2.13080E-05  
Mg26         26           12           4.56170E-05  
Al26         26           13           8.13130E-09  
Al27         27           13           6.66300E-06  
Si28         28           14           1.96540E-04  
Si29         29           14           3.99360E-06  
Si30         30           14           3.67710E-06  
Si31         31           14           0.00000E+00  
Si32         32           14           2.44350E-11  
P31          31           15           1.08870E-06  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.01110E-04  
S33          33           16           2.73140E-07  
S34          34           16           1.69900E-06  
S35          35           16           0.00000E+00  
S36          36           16           1.70940E-08  
Cl35         35           17           3.31210E-07  
Cl36         36           17           3.53830E-10  
Cl37         37           17           1.29170E-07  
Ar36         36           18           2.31280E-05  
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.45880E-06  
Ar39         39           18           5.92490E-11  
Ar40         40           18           2.31580E-08  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           3.19520E-07  
K40          40           19           6.13640E-10  
K41          41           19           2.82850E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           1.73570E-05  
Ca41         41           20           1.10370E-09  
Ca42         42           20           4.34710E-08  
Ca43         43           20           9.65120E-09  
Ca44         44           20           1.37010E-07  
Ca45         45           20           0.00000E+00  
Ca46         46           20           5.84250E-09  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.31280E-08  
Sc45         45           21           5.84410E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           2.25060E-08  
Ti47         47           22           2.06240E-08  
Ti48         48           22           2.00470E-07  
Ti49         49           22           1.69070E-08  
Ti50         50           22           1.94170E-08  
V50          50           23           8.41900E-11  
V51          51           23           3.48590E-08  
Cr50         50           24           6.69560E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           1.34960E-06  
Cr53         53           24           1.55630E-07  
Cr54         54           24           4.47270E-08  
Mn55         55           25           1.18510E-06  
Mn56         56           25           0.00000E+00  
Fe54         54           26           6.43470E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           1.05010E-04  
Fe57         57           26           2.51450E-06  
Fe58         58           26           4.73070E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.95470E-07  
Co59         59           27           3.71060E-07  
Co60         60           27           4.18980E-13  
Ni58         58           28           4.42760E-06  
Ni59         59           28           9.41810E-10  
Ni60         60           28           1.80130E-06  
Ni61         61           28           1.09050E-07  
Ni62         62           28           3.38560E-07  
Ni63         63           28           5.20800E-11  
Ni64         64           28           1.98940E-07  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.10430E-07  
Cu64         64           29           0.00000E+00  
Cu65         65           29           5.67780E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           9.22370E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           7.81360E-08  
Zn67         67           30           1.34730E-08  
Zn68         68           30           7.25060E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           1.98380E-09  
Ga69         69           31           8.45840E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           5.52810E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           1.15600E-08  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.39040E-08  
Ge73         73           32           4.07930E-09  
Ge74         74           32           2.24610E-08  
Ge75         75           32           0.00000E+00  
Ge76         76           32           2.66780E-09  
Ge77         77           32           0.00000E+00  
As75         75           33           2.60280E-09  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.52070E-09  
Se77         77           34           2.31900E-09  
Se78         78           34           1.19850E-08  
Se79         79           34           1.57520E-09  
Se80         80           34           1.76570E-08  
Se81         81           34           0.00000E+00  
Se82         82           34           3.01920E-09  
Br79         79           35           1.43690E-09  
Br80         80           35           0.00000E+00  
Br81         81           35           3.07530E-09  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           3.93110E-10  
Kr81         81           36           4.14810E-11  
Kr82         82           36           6.03340E-09  
Kr83         83           36           3.07360E-09  
Kr84         84           36           1.86250E-08  
Kr85         85           36           1.48880E-13  
Kr86         86           36           2.39140E-08  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           5.41430E-09  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.11340E-08  
Rb88         88           37           0.00000E+00  
Sr86         86           38           2.23360E-09  
Sr87         87           38           1.05900E-09  
Sr88         88           38           2.27460E-08  
Sr89         89           38           0.00000E+00  
Sr90         90           38           6.16100E-13  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           5.78410E-09  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           4.69280E-09  
Zr91         91           40           1.38720E-09  
Zr92         92           40           2.16580E-09  
Zr93         93           40           6.70530E-10  
Zr94         94           40           2.52230E-09  
Zr95         95           40           0.00000E+00  
Zr96         96           40           1.52510E-09  
Zr97         97           40           0.00000E+00  
Nb93         93           41           1.74780E-10  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           8.98780E-11  
Mo93         93           42           0.00000E+00  
Mo94         94           42           5.89040E-11  
Mo95         95           42           4.21960E-10  
Mo96         96           42           5.10800E-10  
Mo97         97           42           2.86040E-10  
Mo98         98           42           8.79380E-10  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.59130E-10  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           9.27070E-11  
Ru96         96           44           2.25600E-11  
Ru97         97           44           0.00000E+00  
Ru98         98           44           7.80320E-12  
Ru99         99           44           6.63680E-11  
Ru00         100          44           3.69050E-10  
Ru01         101          44           1.48930E-10  
Ru02         102          44           6.04930E-10  
