Isotope      A            Z            YIELD      
H            1            1            5.99990E-01  
He4          4            2            2.45290E-01  
C12          12           6            6.46740E-03  
C13          13           6            1.34910E-06  
C14          14           6            1.77900E-10  
N14          14           7            4.77380E-05  
N15          15           7            3.08080E-08  
O16          16           8            5.38650E-04  
O17          17           8            1.88510E-06  
O18          18           8            1.70370E-07  
F18          18           9            0.00000E+00  
F19          19           9            5.66430E-07  
Ne20         20           10           6.28610E-05  
Ne21         21           10           1.51620E-07  
Ne22         22           10           2.97170E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.52200E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           3.49220E-05  
Mg25         25           12           2.92240E-06  
Mg26         26           12           2.81120E-06  
Al26         26           13           1.06720E-08  
Al27         27           13           1.43360E-06  
Si28         28           14           4.07530E-05  
Si29         29           14           7.23070E-07  
Si30         30           14           5.56000E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.00710E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           2.12970E-05  
S33          33           16           6.74570E-08  
S34          34           16           3.74560E-07  
S35          35           16           0.00000E+00  
S36          36           16           4.07240E-09  
Cl35         35           17           6.89740E-08  
Cl36         36           17           3.72730E-11  
Cl37         37           17           3.14300E-08  
Ar36         36           18           4.84820E-06  
Ar37         37           18           0.00000E+00  
Ar38         38           18           3.16570E-07  
Ar39         39           18           6.01880E-13  
Ar40         40           18           4.50970E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           6.77650E-08  
K40          40           19           5.02140E-10  
K41          41           19           7.63300E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           3.64420E-06  
Ca41         41           20           1.64900E-10  
Ca42         42           20           1.03890E-08  
Ca43         43           20           2.21530E-09  
Ca44         44           20           2.93040E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           6.25290E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           2.69440E-09  
Sc45         45           21           1.13570E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           5.00920E-09  
Ti47         47           22           4.32180E-09  
Ti48         48           22           4.17930E-08  
Ti49         49           22           3.99590E-09  
Ti50         50           22           6.49750E-09  
V50          50           23           1.74780E-11  
V51          51           23           7.38560E-09  
Cr50         50           24           1.38990E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           2.84000E-07  
Cr53         53           24           3.28530E-08  
Cr54         54           24           1.07870E-08  
Mn55         55           25           2.51560E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           1.33930E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           2.20340E-05  
Fe57         57           26           5.87280E-07  
Fe58         58           26           1.61880E-07  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.81040E-08  
Co59         59           27           8.87240E-08  
Co60         60           27           0.00000E+00  
Ni58         58           28           9.20290E-07  
Ni59         59           28           3.72860E-10  
Ni60         60           28           3.94050E-07  
Ni61         61           28           2.55900E-08  
Ni62         62           28           7.19150E-08  
Ni63         63           28           2.36230E-13  
Ni64         64           28           3.79370E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           2.19480E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.25070E-08  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           2.12220E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           1.66680E-08  
Zn67         67           30           2.82980E-09  
Zn68         68           30           1.33940E-08  
Zn69         69           30           0.00000E+00  
Zn70         70           30           2.79100E-10  
Ga69         69           31           1.52200E-09  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.14960E-09  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           2.05980E-09  
Ge71         71           32           0.00000E+00  
Ge72         72           32           2.37840E-09  
