Isotope      A            Z            YIELD     
H            1            1            9.36240E-01  
He4          4            2            3.80710E-01  
C12          12           6            1.19470E-02  
C13          13           6            1.90970E-06  
C14          14           6            9.53060E-10  
N14          14           7            7.87650E-05  
N15          15           7            3.37190E-08  
O16          16           8            8.10620E-04  
O17          17           8            7.49690E-06  
O18          18           8            2.40860E-07  
F18          18           9            0.00000E+00  
F19          19           9            1.27960E-06  
Ne20         20           10           9.93840E-05  
Ne21         21           10           3.27160E-07  
Ne22         22           10           6.76550E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           6.42190E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           5.71930E-05  
Mg25         25           12           1.13720E-05  
Mg26         26           12           1.06660E-05  
Al26         26           13           2.27990E-08  
Al27         27           13           3.08490E-06  
Si28         28           14           6.38020E-05  
Si29         29           14           1.20020E-06  
Si30         30           14           9.67430E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           3.08320E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           3.31700E-05  
S33          33           16           1.10920E-07  
S34          34           16           6.11210E-07  
S35          35           16           0.00000E+00  
S36          36           16           6.01970E-09  
Cl35         35           17           1.07280E-07  
Cl36         36           17           9.58050E-11  
Cl37         37           17           5.17990E-08  
Ar36         36           18           7.53580E-06  
Ar37         37           18           0.00000E+00  
Ar38         38           18           5.07140E-07  
Ar39         39           18           3.47730E-12  
Ar40         40           18           3.24780E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.05590E-07  
K40          40           19           6.72540E-10  
K41          41           19           1.30740E-08  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           5.67450E-06  
Ca41         41           20           4.50760E-10  
Ca42         42           20           1.76730E-08  
Ca43         43           20           3.86040E-09  
Ca44         44           20           4.52760E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           4.41790E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           4.19310E-09  
Sc45         45           21           1.88890E-09  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           7.37360E-09  
