Isotope      A            Z            YIELD     
H            1            1            4.56260E-01  
He4          4            2            1.81020E-01  
C12          12           6            3.22400E-03  
C13          13           6            1.02340E-06  
C14          14           6            6.18140E-11  
N14          14           7            3.34710E-05  
N15          15           7            2.70040E-08  
O16          16           8            3.63230E-04  
O17          17           8            6.96000E-07  
O18          18           8            1.36200E-07  
F18          18           9            0.00000E+00  
F19          19           9            2.31580E-07  
Ne20         20           10           4.68840E-05  
Ne21         21           10           7.91470E-08  
Ne22         22           10           1.10760E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           1.13280E-06  
Na24         24           11           0.00000E+00  
Mg24         24           12           2.46850E-05  
Mg25         25           12           1.35440E-06  
Mg26         26           12           1.46670E-06  
Al26         26           13           8.61070E-09  
Al27         27           13           1.01050E-06  
Si28         28           14           3.06390E-05  
Si29         29           14           5.23170E-07  
Si30         30           14           3.71960E-07  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           1.09180E-07  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.60710E-05  
S33          33           16           4.71850E-08  
S34          34           16           2.55600E-07  
S35          35           16           0.00000E+00  
S36          36           16           1.64570E-09  
Cl35         35           17           5.19360E-08  
Cl36         36           17           1.25050E-11  
Cl37         37           17           2.23650E-08  
Ar36         36           18           3.67310E-06  
Ar37         37           18           0.00000E+00  
Ar38         38           18           2.30960E-07  
Ar39         39           18           1.20680E-13  
Ar40         40           18           7.10810E-10  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           4.91270E-08  
K40          40           19           1.56280E-10  
K41          41           19           4.96160E-09  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           2.75800E-06  
Ca41         41           20           5.93900E-11  
Ca42         42           20           7.04450E-09  
Ca43         43           20           1.48540E-09  
Ca44         44           20           2.10810E-08  
Ca45         45           20           0.00000E+00  
Ca46         46           20           6.12030E-11  
Ca47         47           20           0.00000E+00  
Ca48         48           20           2.02510E-09  
Sc45         45           21           6.56040E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           3.49380E-09  
Ti47         47           22           3.14200E-09  
Ti48         48           22           3.15220E-08  
Ti49         49           22           2.67240E-09  
Ti50         50           22           3.39040E-09  
V50          50           23           1.33010E-11  
V51          51           23           5.51580E-09  
Cr50         50           24           1.05780E-08  
Cr51         51           24           0.00000E+00  
Cr52         52           24           2.14630E-07  
Cr53         53           24           2.47960E-08  
Cr54         54           24           7.23260E-09  
Mn55         55           25           1.89200E-07  
Mn56         56           25           0.00000E+00  
Fe54         54           26           1.01770E-06  
Fe55         55           26           0.00000E+00  
Fe56         56           26           1.66920E-05  
Fe57         57           26           4.24930E-07  
Fe58         58           26           9.07510E-08  
Fe59         59           26           0.00000E+00  
Fe60         60           26           6.54630E-10  
Co59         59           27           5.80040E-08  
Co60         60           27           0.00000E+00  
Ni58         58           28           6.99720E-07  
Ni59         59           28           1.32270E-10  
Ni60         60           28           2.86030E-07  
Ni61         61           28           1.49750E-08  
Ni62         62           28           4.39890E-08  
Ni63         63           28           0.00000E+00  
Ni64         64           28           1.24650E-08  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           1.02500E-08  
Cu64         64           29           0.00000E+00  
Cu65         65           29           4.53410E-09  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           1.47820E-08  
Zn65         65           30           0.00000E+00  
Zn66         66           30           9.07340E-09  
Zn67         67           30           1.38760E-09  
Zn68         68           30           6.47280E-09  
Zn69         69           30           0.00000E+00  
Zn70         70           30           2.03260E-10  
Ga69         69           31           6.36220E-10  
Ga70         70           31           0.00000E+00  
Ga71         71           31           4.55100E-10  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           7.90850E-10  
Ge71         71           32           0.00000E+00  
Ge72         72           32           1.03470E-09  
Ge73         73           32           2.94490E-10  
Ge74         74           32           1.45710E-09  
Ge75         75           32           0.00000E+00  
Ge76         76           32           2.53270E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           1.94760E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           2.40480E-10  
Se77         77           34           1.70660E-10  
Se78         78           34           6.32800E-10  
Se79         79           34           1.76750E-11  
Se80         80           34           1.19070E-09  
Se81         81           34           0.00000E+00  
Se82         82           34           1.70290E-10  
Br79         79           35           1.86800E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           2.04060E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           4.10850E-11  
Kr81         81           36           4.81010E-13  
Kr82         82           36           3.05530E-10  
Kr83         83           36           2.36220E-10  
Kr84         84           36           1.23960E-09  
Kr85         85           36           0.00000E+00  
Kr86         86           36           4.19780E-10  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           2.14260E-10  
Rb86         86           37           0.00000E+00  
Rb87         87           37           1.09110E-10  
Rb88         88           37           0.00000E+00  
Sr86         86           38           1.61530E-10  
Sr87         87           38           1.16660E-10  
Sr88         88           38           2.10010E-09  
Sr89         89           38           0.00000E+00  
Sr90         90           38           0.00000E+00  
Sr91         91           38           0.00000E+00  
Sr92         92           38           0.00000E+00  
Y89          89           39           5.04480E-10  
Y90          90           39           0.00000E+00  
Y91          91           39           0.00000E+00  
Y92          92           39           0.00000E+00  
Y93          93           39           0.00000E+00  
Zr90         90           40           5.55440E-10  
Zr91         91           40           1.42760E-10  
Zr92         92           40           2.18720E-10  
Zr93         93           40           4.54650E-11  
Zr94         94           40           2.74870E-10  
Zr95         95           40           0.00000E+00  
Zr96         96           40           4.35350E-11  
Zr97         97           40           0.00000E+00  
Nb93         93           41           3.72620E-11  
Nb94         94           41           0.00000E+00  
Nb95         95           41           0.00000E+00  
Nb96         96           41           0.00000E+00  
Nb97         97           41           0.00000E+00  
Mo92         92           42           1.41890E-11  
Mo93         93           42           0.00000E+00  
Mo94         94           42           9.71990E-12  
Mo95         95           42           4.09700E-11  
Mo96         96           42           6.19780E-11  
Mo97         97           42           2.52350E-11  
Mo98         98           42           7.90130E-11  
Mo99         99           42           0.00000E+00  
Mo00         100          42           1.31650E-11  
Tc97         97           43           0.00000E+00  
Tc98         98           43           0.00000E+00  
Tc99         99           43           2.00050E-12  
Ru96         96           44           3.55910E-12  
Ru97         97           44           0.00000E+00  
Ru98         98           44           1.22980E-12  
Ru99         99           44           1.39390E-11  
Ru00         100          44           3.43140E-11  
Ru01         101          44           1.74010E-11  
Ru02         102          44           5.84370E-11  
Ru03         103          44           0.00000E+00  
Ru04         104          44           1.61790E-11  
Ru05         105          44           0.00000E+00  
Ru06         106          44           0.00000E+00  
Rh03         103          45           2.04810E-11  
Rh05         105          45           0.00000E+00  
Pd04         104          46           2.51040E-11  
Pd05         105          46           1.78380E-11  
Pd06         106          46           3.92520E-11  
Pd07         107          46           4.45630E-12  
Pd08         108          46           4.56110E-11  
Pd09         109          46           0.00000E+00  
Pd10         110          46           9.87530E-12  
Ag07         107          47           1.02120E-11  
Ag09         109          47           1.82990E-11  
Ag11         111          47           0.00000E+00  
Cd08         108          48           5.94780E-13  
Cd09         109          48           0.00000E+00  
Cd10         110          48           3.27510E-11  
Cd11         111          48           1.71200E-11  
Cd12         112          48           4.95600E-11  
Cd13         113          48           1.79890E-11  
Cd14         114          48           6.92150E-11  
Cd15         115          48           0.00000E+00  
Cd16         116          48           1.14210E-11  
In13         113          49           3.24430E-13  
In15         115          49           1.75520E-11  
Sn14         114          50           1.03340E-12  
Sn15         115          50           5.36010E-13  
Sn16         116          50           9.06300E-11  
Sn17         117          50           3.35100E-11  
Sn18         118          50           1.41960E-10  
Sn19         119          50           4.52640E-11  
Sn20         120          50           2.23470E-10  
Sn21         121          50           0.00000E+00  
Sn22         122          50           1.84030E-11  
Sn23         123          50           0.00000E+00  
Sn24         124          50           1.00280E-11  
Sb21         121          51           2.15020E-11  
Sb22         122          51           0.00000E+00  
Sb23         123          51           9.46730E-12  
Sb24         124          51           0.00000E+00  
Sb25         125          51           0.00000E+00  
Te22         122          52           2.49250E-11  
Te23         123          52           8.53710E-12  
Te24         124          52           5.05690E-11  
Te25         125          52           2.91490E-11  
Te26         126          52           1.21210E-10  
Te27         127          52           0.00000E+00  
Te28         128          52           8.07770E-11  
Te30         130          52           7.82530E-11  
I127         127          53           5.73260E-11  
I128         128          53           0.00000E+00  
I129         129          53           3.31780E-13  
I130         130          53           0.00000E+00  
I131         131          53           0.00000E+00  
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           3.06870E-11  
Xe29         129          54           8.04510E-11  
Xe30         130          54           6.54710E-11  
Xe31         131          54           7.19460E-11  
Xe32         132          54           1.80870E-10  
Xe33         133          54           0.00000E+00  
Xe34         134          54           3.67000E-11  
Xe35         135          54           0.00000E+00  
Xe36         136          54           2.15540E-11  
Cs33         133          55           3.36690E-11  
Cs34         134          55           0.00000E+00  
Cs35         135          55           1.09640E-11  
Cs36         136          55           0.00000E+00  
Cs37         137          55           0.00000E+00  
Ba34         134          56           3.85570E-11  
Ba35         135          56           2.64240E-11  
Ba36         136          56           1.33480E-10  
Ba37         137          56           1.29030E-10  
Ba38         138          56           1.76390E-09  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           2.17730E-10  
La40         140          57           0.00000E+00  
Ce40         140          58           7.43690E-10  
Ce41         141          58           0.00000E+00  
Ce42         142          58           2.82060E-11  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           7.85540E-11  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           1.89530E-10  
Nd43         143          60           3.42800E-11  
Nd44         144          60           1.03780E-10  
Nd45         145          60           2.09280E-11  
Nd46         146          60           9.43500E-11  
Nd47         147          60           0.00000E+00  
Nd48         148          60           1.57210E-11  
Nd49         149          60           0.00000E+00  
Nd50         150          60           2.81240E-12  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           4.19450E-13  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           1.21660E-11  
Sm48         148          62           2.44060E-11  
Sm49         149          62           6.13070E-12  
Sm50         150          62           1.95560E-11  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.98590E-11  
Sm53         153          62           0.00000E+00  
Sm54         154          62           9.75440E-12  
Eu51         151          63           5.14230E-12  
Eu52         152          63           0.00000E+00  
Eu53         153          63           5.97200E-12  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           2.06250E-13  
Gd53         153          64           0.00000E+00  
Gd54         154          64           4.36710E-12  
Gd55         155          64           7.04940E-12  
Gd56         156          64           1.67910E-11  
Gd57         157          64           8.87310E-12  
Gd58         158          64           2.71480E-11  
Gd59         159          64           0.00000E+00  
Gd60         160          64           8.67890E-12  
