#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i))
si30	30	4.8281857e-08	1.4189925e-06	1.3707106e-06	1.6622794e-06	1.6057196e-06	1.5034315e-02
p31	31	7.7738319e-08	4.1011252e-07	3.3237420e-07	4.8042650e-07	3.8935991e-07	9.1275723e-02
p32	32	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
p33	33	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
s32	32	-5.3575744e-08	1.8261265e-05	1.8314841e-05	2.1392168e-05	2.1454929e-05	-1.2722878e-03
s33	33	3.1587711e-09	1.5437076e-07	1.5121199e-07	1.8083770e-07	1.7713736e-07	8.9788163e-03
s34	34	1.5115163e-08	8.9453758e-07	8.7942241e-07	1.0479065e-06	1.0301998e-06	7.4010582e-03
s35	35	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
s36	36	3.2140518e-09	7.5551304e-09	4.3410786e-09	8.8504610e-09	5.0853586e-09	2.4064431e-01
cl35	35	-1.6022226e-09	1.8627935e-07	1.8788157e-07	2.1821703e-07	2.2009395e-07	-3.7194728e-03
cl36	36	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
cl37	37	1.4489395e-08	7.7968458e-08	6.3479063e-08	9.1336187e-08	7.4362578e-08	8.9288440e-02
ar36	36	-3.3412865e-08	3.4652234e-06	3.4986362e-06	4.0593375e-06	4.0984790e-06	-4.1675551e-03
ar37	37	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
ar38	38	1.0879570e-08	6.8233303e-07	6.7145346e-07	7.9931934e-07	7.8657446e-07	6.9804785e-03
ar39	39	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
ar40	40	3.1974765e-09	4.3279267e-09	1.1304502e-09	5.0699517e-09	1.3242664e-09	5.8302846e-01
k39	39	1.7965391e-09	1.8394402e-07	1.8214748e-07	2.1548130e-07	2.1337675e-07	4.2625044e-03
k40	40	6.2616574e-10	6.5565396e-10	2.9488218e-11	7.6806613e-10	3.4543986e-11	1.3470262e+00
