  pr141    4.4165E-13    141
  nd142    1.0645E-12    142
  nd143    4.7323E-13    143
  nd144    9.3399E-13    144
  nd145    3.4492E-13    145
  nd146    6.7425E-13    146
  nd148    2.2499E-13    148
  nd150    2.2027E-13    150
  sm144    2.0522E-14    144
  sm147    1.0020E-13    147
  sm148    7.5135E-14    148
  sm149    9.2381E-14    149
  sm150    4.9332E-14    150
  sm152    1.7881E-13    152
  sm154    1.5207E-13    154
  eu151    1.1873E-13    151
  eu153    1.2961E-13    153
  gd152    1.7223E-15    152
  gd154    1.8773E-14    154
  gd155    1.2745E-13    155
  gd156    1.7627E-13    156
  gd157    1.3477E-13    157
  gd158    2.1391E-13    158
  gd160    1.8824E-13    160
  tb159    1.6035E-13    159
  dy156    5.7978E-16    156
  dy158    9.8356E-16    158
  dy160    2.4112E-14    160
  dy161    1.9556E-13    161
  dy162    2.6375E-13    162
  dy163    2.5775E-13    163
  dy164    2.9258E-13    164
  ho165    2.2650E-13    165
  er162    8.8734E-16    162
  er164    1.0220E-14    164
  er166    2.1388E-13    166
  er167    1.4599E-13    167
  er168    1.7222E-13    168
  er170    9.5182E-14    170
  tm169    1.0118E-13    169
  yb168    7.6605E-16    168
  yb170    1.9023E-14    170
  yb171    8.9947E-14    171
  yb172    1.3846E-13    172
  yb173    1.0278E-13    173
  yb174    2.0447E-13    174
  yb176    8.2988E-14    176
  lu175    9.1759E-14    175
  lu176    2.6632E-15    176
  hf174    6.3766E-16    174
  hf176    2.0491E-14    176
  hf177    7.3236E-14    177
  hf178    1.0745E-13    178
  hf179    5.3646E-14    179
  hf180    1.3816E-13    180
  ta180    6.9864E-18    180
  ta181    5.8213E-14    181
   w180    4.1140E-17    180
   w182    9.0849E-14    182
   w183    4.9058E-14    183
   w184    1.0504E-13    184
   w186    9.7466E-14    186
  re185    4.9806E-14    185
  re187    8.9855E-14    187
  os184    3.4364E-16    184
  os186    2.7457E-14    186
  os187    2.1838E-14    187
  os188    2.2915E-13    188
  os189    2.7939E-13    189
  os190    4.5436E-13    190
  os192    7.0567E-13    192
  ir191    5.9811E-13    191
  ir193    1.0054E-12    193
  pt190    4.4792E-16    190
  pt192    2.5020E-14    192
  pt194    1.0548E-12    194
  pt195    1.0824E-12    195
  pt196    8.0761E-13    196
  pt198    2.2917E-13    198
  au197    4.8426E-13    197
  hg196    1.7028E-15    196
  hg198    1.1318E-13    198
  hg199    1.9151E-13    199
  hg200    2.6223E-13    200
  hg201    1.4962E-13    201
  hg202    3.3898E-13    202
  hg204    7.7989E-14    204
  tl203    1.3343E-13    203
  tl205    3.1851E-13    205
  pb204    1.6805E-13    204
  pb206    1.5638E-12    206
  pb207    1.7305E-12    207
  pb208    4.9531E-12    208
  bi209    3.4283E-13    209
