# Final abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 5.78852E-01
 he   2  11.259865  0.329865  1.629494  1.792491 4.18175E-01
 li   3  -2.046880 -5.306880 -4.007251 -3.844253 3.57808E-14
 be   4  -3.253230 -4.553230 -3.253601 -3.090603 2.88867E-15
  b   5   0.000000 -2.790000  0.000000  0.000000 4.33842E-29
  c   6   8.381062 -0.088939  1.210690  1.373688 1.65863E-03
  n   7   8.850429  0.980429  2.280058  2.443056 5.70008E-03
  o   8   7.267373 -1.462627 -0.162998  0.000000 1.70048E-04
  f   9   2.960378 -1.459622 -0.159993  0.003005 9.95847E-09
 ne  10   7.047363 -0.922637  0.376992  0.539990 1.29238E-04
 na  11   5.194905 -1.045095  0.254534  0.417532 2.06800E-06
 mg  12   6.674583 -0.965416  0.334213  0.497211 6.59761E-05
 al  13   5.969589 -0.480411  0.819219  0.982216 1.44468E-05
 si  14   6.430294 -1.119707  0.179923  0.342920 4.34401E-05
  p  15   4.437708 -0.972291  0.327338  0.490335 4.87319E-07
  s  16   5.865836 -1.284164  0.015465  0.178463 1.35199E-05
 cl  17   3.986675 -1.243325  0.056304  0.219302 1.97440E-07
 ar  18   5.144193 -1.295807  0.003822  0.166820 3.19739E-06
  k  19   3.809283 -1.270717  0.028913  0.191910 1.44726E-07
 ca  20   4.991343 -1.298657  0.000972  0.163970 2.25609E-06
 sc  21   1.968035 -1.081965  0.217664  0.380662 2.39844E-09
 ti  22   3.627784 -1.282216  0.017413  0.180411 1.16661E-07
  v  23   2.662198 -1.297802  0.001827  0.164825 1.34395E-08
 cr  24   4.323344 -1.316656 -0.017026  0.145971 6.28668E-07
 mn  25   4.187016 -1.292984  0.006645  0.169642 4.85284E-07
 fe  26   6.240371 -1.299629  0.000000  0.162998 5.57779E-05
 co  27   3.725958 -1.144042  0.155587  0.318585 1.80063E-07
 ni  28   4.993528 -1.206472  0.093157  0.256155 3.32064E-06
 cu  29   3.586413 -0.663587  0.636043  0.799040 1.40802E-07
 zn  30   3.694832 -0.935168  0.364461  0.527459 1.86027E-07
 ga  31   2.657728 -0.422272  0.877357  1.040355 1.82059E-08
 ge  32   3.126263 -0.453737  0.845892  1.008890 5.57886E-08
 as  33   1.680511 -0.619489  0.680140  0.843138 2.06171E-09
 se  34   3.009362 -0.330638  0.968992  1.131989 4.63316E-08
 br  35   2.163691 -0.376309  0.923320  1.086318 6.68908E-09
 kr  36   3.290015  0.040015  1.339644  1.502642 9.38331E-08
 rb  37   2.648457  0.128457  1.428086  1.591084 2.18458E-08
 sr  38   2.844539 -0.035461  1.264168  1.427166 3.51762E-08
  y  39   2.189919 -0.020082  1.279548  1.442545 7.90601E-09
 zr  40   2.553126  0.023126  1.322756  1.485753 1.87216E-08
 nb  41   1.298827 -0.111173  1.188456  1.351454 1.06164E-09
 mo  42   1.646281 -0.293719  1.005910  1.168908 2.43999E-09
 tc  43   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 ru  44   1.315809 -0.444191  0.855438  1.018436 1.20099E-09
 rh  45   0.277046 -0.782954  0.516675  0.679673 1.11839E-10
 pd  46   1.233952 -0.416048  0.883581  1.046579 1.04733E-09
 ag  47   0.464724 -0.735276  0.564353  0.727350 1.80602E-10
 cd  48   1.345146 -0.364854  0.934775  1.097773 1.42910E-09
 in  49   0.206457 -0.553543  0.746086  0.909084 1.06066E-10
 sn  50   1.720816 -0.349184  0.950445  1.113443 3.58435E-09
 sb  51   0.204480 -0.805520  0.494109  0.657107 1.11968E-10
 te  52   1.271441 -0.908560  0.391070  0.554067 1.36899E-09
  i  53   0.429607 -1.120393  0.179237  0.342234 1.95970E-10
 xe  54   1.516301 -0.723699  0.575930  0.738928 2.47543E-09
 cs  55   0.273984 -0.806016  0.493613  0.656611 1.43428E-10
 ba  56   1.973422 -0.206578  1.093051  1.256049 7.41797E-09
 la  57   0.754832 -0.415168  0.884462  1.047459 4.53587E-10
 ce  58   1.160764 -0.419236  0.880393  1.043391 1.16509E-09
 pr  59   0.156906 -0.603094  0.696535  0.859533 1.16131E-10
 nd  60   0.774541 -0.675459  0.624170  0.787168 4.92872E-10
 pm  61   0.000000 -9.000000  0.000000  0.000000 6.94781E-26
 sm  62   0.017675 -0.922325  0.377305  0.540302 8.99321E-11
 eu  63  -0.655405 -1.165405  0.134224  0.297222 1.92949E-11
 gd  64  -0.001947 -1.051947  0.247682  0.410680 8.98980E-11
 tb  65  -0.794634 -1.114634  0.184995  0.347993 1.46442E-11
 dy  66   0.152967 -0.977033  0.322597  0.485594 1.32717E-10
 ho  67  -0.678409 -1.148409  0.151221  0.314218 1.98609E-11
 er  68   0.007371 -0.912629  0.387000  0.549998 9.76939E-11
 tm  69  -0.855225 -0.975225  0.324405  0.487402 1.35394E-11
 yb  70   0.145038 -0.774962  0.524667  0.687665 1.38769E-10
 lu  71  -0.747515 -0.837515  0.462114  0.625112 1.79700E-11
 hf  72   0.054972 -0.655028  0.644601  0.807599 1.16330E-10
 ta  73  -0.869720 -0.749720  0.549910  0.712907 1.40263E-11
  w  74   0.043407 -0.606593  0.693037  0.856034 1.16669E-10
 re  75  -0.637104 -0.897104  0.402525  0.565523 2.46604E-11
 os  76   0.249469 -1.100531  0.199098  0.362096 1.94024E-10
 ir  77   0.054878 -1.265122  0.034507  0.197505 1.25250E-10
 pt  78   0.422584 -1.197416  0.102213  0.265211 2.96414E-10
 au  79  -0.364797 -1.164797  0.134833  0.297830 4.88320E-11
 hg  80   0.466256 -0.703744  0.595885  0.758883 3.37033E-10
 tl  81   0.264173 -0.505827  0.793802  0.956800 2.15638E-10
 pb  82   1.747302 -0.292698  1.006931  1.169929 6.64966E-09
 bi  83   0.580202 -0.069798  1.229831  1.392829 4.56472E-10
 po  84   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
#[ls/Fe]_Thiswork =   1.2888, [hs/Fe]_Thiswork =   0.9526
#[hs/ls]_Thiswork =  -0.3362, [Pb/hs]_Thiswork =   0.0543
# C/O =  1.2992E+01, c12/c13 = 1.21757E+01, n14/n15 = 7.69952E+03
# o16/o17 = 4.06558E+02, o16/o18 = 2.74768E+06
# mg24/mg25 =  3.0690E-02, mg24/mg26 =  2.4294E-02
# si28/si29 =  2.4407E+01, si28/si30 =  2.6230E+01
# cl36/cl35 =  0.0000E+00, cl37/cl35 =  3.6227E-01
