# M_ini =  2.36 Msun, Z = 0.0011, Y = 0.24, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.4
# M_remnant = 0.693 Msun, M_yield(all) = 1.667 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.371481   1.137864E+00   6.824544E-01
 he   2   11.037582   0.107582   1.479063   4.961978E-01   2.976036E-01
  c   6    9.316884   0.846884   2.218366   2.832452E-02   1.698814E-02
  n   7    7.015165  -0.854835   0.516647   1.649654E-04   9.894096E-05
  o   8    7.895593  -0.834407   0.537074   1.431866E-03   8.587872E-04
  f   9    5.552809   1.132809   2.504291   7.720639E-06   4.630592E-06
 ne  10    8.061711   0.091711   1.463193   2.860643E-03   1.715722E-03
 na  11    5.978520  -0.261480   1.110001   2.490795E-05   1.493899E-05
 mg  12    6.798312  -0.841688   0.529793   1.748653E-04   1.048786E-04
 al  13    5.396216  -1.053784   0.317697   7.650147E-06   4.588314E-06
 si  14    6.565658  -0.984342   0.387139   1.174192E-04   7.042426E-05
  p  15    4.260333  -1.149667   0.221814   6.423696E-07   3.852727E-07
  s  16    5.791351  -1.358649   0.012833   2.259413E-05   1.355124E-05
 cl  17    3.922323  -1.307677   0.063804   3.398186E-07   2.038123E-07
 ar  18    5.066263  -1.373737  -0.002256   4.816526E-06   2.888798E-06
  k  19    3.736805  -1.343195   0.028286   2.432162E-07   1.458733E-07
 ca  20    4.912919  -1.377081  -0.005600   3.736468E-06   2.241014E-06
 sc  21    1.906431  -1.143569   0.227912   4.127941E-09   2.475807E-09
 ti  22    3.562642  -1.347358   0.024123   1.998010E-07   1.198343E-07
  v  23    2.574686  -1.385314  -0.013832   2.179449E-08   1.307164E-08
 cr  24    4.251381  -1.388619  -0.017138   1.059319E-06   6.353454E-07
 mn  25    4.123803  -1.356197   0.015284   8.322533E-07   4.991589E-07
 fe  26    6.168519  -1.371481   0.000000   9.385481E-05   5.629111E-05
 co  27    3.877799  -0.992201   0.379281   5.066891E-07   3.038959E-07
 ni  28    4.847050  -1.352950   0.018532   4.721095E-06   2.831562E-06
 cu  29    3.141040  -1.108960   0.262522   1.000749E-07   6.002170E-08
 zn  30    3.354001  -1.275999   0.095483   1.693477E-07   1.015693E-07
 ga  31    2.097764  -0.982236   0.389245   9.957802E-09   5.972371E-09
 ge  32    2.603206  -0.976794   0.394687   3.304457E-08   1.981908E-08
 as  33    1.248802  -1.051198   0.320283   1.513399E-09   9.076881E-10
 se  34    2.570478  -0.769522   0.601959   3.330903E-08   1.997769E-08
 br  35    1.628385  -0.911615   0.459866   3.877257E-09   2.325454E-09
 kr  36    2.743235  -0.506765   0.864717   5.320287E-08   3.190938E-08
 rb  37    2.146170  -0.373830   0.997651   1.369620E-08   8.214542E-09
 sr  38    2.906908   0.026908   1.398389   8.069390E-08   4.839762E-08
  y  39    2.352343   0.142343   1.513825   2.279416E-08   1.367121E-08
 zr  40    2.776755   0.246755   1.618237   6.259898E-08   3.754487E-08
 nb  41    1.594093   0.184093   1.555574   4.155909E-09   2.492582E-09
 mo  42    1.882480  -0.057520   1.313961   8.373694E-09   5.022274E-09
 ru  44    1.487053  -0.272947   1.098534   3.526534E-09   2.115102E-09
 rh  45    0.458892  -0.601108   0.770373   3.371470E-10   2.022100E-10
 pd  46    1.546291  -0.103709   1.267773   4.252366E-09   2.550433E-09
 ag  47    0.772088  -0.427912   0.943569   7.286195E-10   4.370027E-10
 cd  48    1.784360   0.074360   1.445842   7.783911E-09   4.668541E-09
 in  49    0.667857  -0.092143   1.279338   6.090391E-10   3.652822E-10
 sn  50    2.272299   0.202299   1.573781   2.524167E-08   1.513914E-08
 sb  51    0.755488  -0.254512   1.116969   7.840856E-10   4.702695E-10
 te  52    1.857006  -0.322994   1.048487   1.021127E-08   6.124395E-09
  i  53    0.760097  -0.789903   0.581578   8.317460E-10   4.988547E-10
 xe  54    2.030538  -0.209462   1.162020   1.602324E-08   9.610226E-09
 cs  55    0.787920  -0.292080   1.079401   9.286707E-10   5.569870E-10
 ba  56    2.736511   0.556511   1.927992   8.538435E-08   5.121080E-08
 la  57    1.719545   0.549545   1.921027   8.291832E-09   4.973175E-09
 ce  58    2.221977   0.641977   2.013458   2.658959E-08   1.594759E-08
 pr  59    1.204721   0.444721   1.816203   2.570578E-09   1.541750E-09
 nd  60    1.904603   0.454603   1.826084   1.312626E-08   7.872713E-09
 sm  62    1.117776   0.177776   1.549258   2.230048E-09   1.337512E-09
 eu  63    0.086995  -0.423005   0.948477   2.114013E-10   1.267917E-10
 gd  64    0.984193  -0.065807   1.305674   1.721303E-09   1.032383E-09
 tb  65    0.022462  -0.297538   1.073944   1.905241E-10   1.142702E-10
 dy  66    1.108287  -0.021713   1.349769   2.375863E-09   1.424967E-09
 ho  67    0.073400  -0.396600   0.974881   2.223178E-10   1.333391E-10
 er  68    0.959199   0.039199   1.410681   1.737481E-09   1.042086E-09
 tm  69   -0.026642  -0.146642   1.224840   1.808570E-10   1.084723E-10
 yb  70    1.300416   0.380416   1.751897   3.928347E-09   2.356097E-09
 lu  71    0.339604   0.249604   1.621085   4.362798E-10   2.616667E-10
 hf  72    1.195569   0.485569   1.857050   3.197559E-09   1.917794E-09
 ta  73    0.232556   0.352556   1.724037   3.518234E-10   2.110124E-10
  w  74    1.182638   0.532638   1.904119   3.190053E-09   1.913291E-09
 re  75    0.268698   0.008698   1.380179   3.928021E-10   2.355901E-10
 os  76    1.161134  -0.188866   1.182615   3.116418E-09   1.869128E-09
 ir  77    0.498006  -0.821994   0.549487   6.882074E-10   4.127648E-10
 pt  78    1.215104  -0.404896   0.966586   3.639275E-09   2.182721E-09
 au  79    0.409185  -0.390815   0.980667   5.750981E-10   3.449254E-10
 hg  80    1.657955   0.487955   1.859436   1.037759E-08   6.224146E-09
 tl  81    1.452661   0.682661   2.054143   6.593297E-09   3.954449E-09
 pb  82    3.411389   1.371389   2.742871   6.093639E-07   3.654770E-07
 bi  83    1.654117   1.004117   2.375598   1.072391E-08   6.431861E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
   -0.6206   1.5102   1.9221   0.4120   0.8207      2.0403      9.6261
