#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
fe56      absolute  3.308740e-05  9.759943e-05  1.432316e-04  2.131419e-04  2.941601e-04
fe57      absolute  3.016914e-07  1.420731e-06  1.371396e-06  2.103296e-06  2.764753e-06
fe58      absolute  1.675459e-08  9.094009e-07  5.629021e-07  1.252423e-06  4.788577e-07
fe59      absolute  2.962527e-40 -8.639005e-42  2.379350e-29 -1.940851e-22 -2.842532e-19
fe60      absolute  3.181309e-10  4.295275e-08  4.841226e-07  2.481243e-06  1.171214e-06
co59      absolute  9.500734e-08  4.797014e-07  6.186378e-07  1.157606e-06  1.049612e-06
co60      absolute  1.117980e-15  1.509452e-13  1.666820e-12  5.503157e-12  3.737020e-12
ni58      absolute  1.817274e-06  5.270636e-06  7.856229e-06  1.168135e-05  1.614222e-05
ni59      absolute  1.061464e-10  3.466564e-09  2.593022e-10  5.516125e-11  3.451233e-10
ni60      absolute  5.103554e-09  1.450258e-07  1.284638e-07  5.082920e-07  1.590510e-07
ni61      absolute  1.399407e-09  6.003516e-08  1.057495e-07  3.919263e-07  1.580025e-07
ni62      absolute  4.240915e-09  1.360867e-07  3.694524e-07  1.950778e-06  8.399927e-07
ni63      absolute  3.345559e-13  4.298029e-10  5.003551e-11  3.192863e-10  2.324839e-09
ni64      absolute  1.963774e-09  4.134365e-08  2.050744e-07  1.675168e-06  8.433619e-07
cu63      absolute  3.549562e-09  3.548097e-08  1.259136e-07  7.321012e-07  3.450318e-07
cu64      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.937502e-37
cu65      absolute  3.641464e-09  1.883289e-08  5.126686e-08  3.482445e-07  1.984431e-07
zn64      absolute  4.712963e-08  1.370086e-07  2.035189e-07  3.031500e-07  4.168884e-07
zn65      absolute  0.000000e+00  1.124042e-39  5.082259e-24 -3.289518e-18 -4.368044e-17
zn66      absolute  4.153773e-10  1.136591e-08  3.539684e-08  3.347796e-07  1.788924e-07
zn67      absolute  8.431965e-11  2.523980e-09  7.670605e-09  7.410296e-08  3.997204e-08
zn68      absolute  4.505787e-10  1.496226e-08  4.672255e-08  4.863433e-07  2.722329e-07
zn69      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zn70      absolute  1.424232e-12  7.064702e-11  4.008423e-10  4.173538e-09  2.068299e-09
ga69      absolute  1.843530e-09  7.252829e-09  1.427645e-08  7.944124e-08  5.355270e-08
ga70      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ga71      absolute  1.072381e-09  4.866457e-09  1.031214e-08  6.850220e-08  4.336989e-08
ge70      absolute  7.662004e-10  5.199594e-09  1.276955e-08  1.081844e-07  6.424487e-08
ge71      absolute  0.000000e+00  0.000000e+00  6.982367e-37  1.781961e-27  1.270989e-25
ge72      absolute  2.579837e-09  1.078770e-08  2.052322e-08  1.223426e-07  8.143721e-08
ge73      absolute  8.644039e-10  3.509110e-09  6.486268e-09  3.723242e-08  2.534140e-08
ge74      absolute  4.151207e-09  1.710937e-08  3.000579e-08  1.657816e-07  1.148380e-07
as75      absolute  7.287857e-10  2.578028e-09  4.264656e-09  1.754506e-08  1.362150e-08
se76      absolute  2.738841e-10  2.526752e-09  5.041746e-09  4.624189e-08  2.755017e-08
se77      absolute  4.798425e-10  2.080094e-09  3.610270e-09  2.079943e-08  1.418270e-08
se78      absolute  1.406950e-09  8.923253e-09  1.601978e-08  1.241633e-07  7.734307e-08
se79      absolute  1.609173e-11  6.148587e-10  1.963036e-09  1.854705e-08  1.301656e-08
se80      absolute  3.696813e-09  1.752778e-08  2.870481e-08  1.705646e-07  1.151071e-07
br79      absolute  5.350010e-11  6.940214e-10  5.695753e-10  7.918956e-09  2.330379e-09
br80      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
br81      absolute  1.158446e-09  4.267325e-09  6.716879e-09  2.713516e-08  2.124124e-08
