  56
     1     p    p1     0
    54    fe  fe54    28
    56    fe  fe56    30
    85    rb  rb85    48
    87    rb  rb87    50
    86    sr  sr86    48
    87    sr  sr87    49
    88    sr  sr88    50
    89     y   y89    50
    90    zr  zr90    50
    91    zr  zr91    51
    92    zr  zr92    52
    94    zr  zr94    54
    96    zr  zr96    56
    92    mo  mo92    50
    94    mo  mo94    52
    95    mo  mo95    53
    96    mo  mo96    54
    97    mo  mo97    55
    98    mo  mo98    56
   100    mo mo100    58
   134    ba ba134    78
   135    ba ba135    79
   136    ba ba136    80
   137    ba ba137    81
   138    ba ba138    82
   139    la la139    82
   136    ce ce136    78
   138    ce ce138    80
   140    ce ce140    82
   142    ce ce142    84
   141    pr pr141    82
   142    nd nd142    82
   143    nd nd143    83
   145    nd nd145    85
   146    nd nd146    86
   148    nd nd148    88
   150    nd nd150    90
   144    sm sm144    82
   146    sm sm146    84
   147    sm sm147    85
   148    sm sm148    86
   149    sm sm149    87
   150    sm sm150    88
   142    sm sm142    80
   154    sm sm154    92
   174    hf hf174   102
   176    hf hf176   104
   177    hf hf177   105
   178    hf hf178   106
   179    hf hf179   107
   180    hf hf180   108
   204    pb pb204   122
   206    pb pb206   124
   207    pb pb207   125
   208    pb pb208   126
