#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
mo95      absolute  1.004300e-10  1.930600e-10  2.134100e-10  4.252700e-10  3.593800e-10  4.219600e-10  3.274100e-10
mo96      absolute  1.572900e-10  2.822600e-10  3.137300e-10  6.531200e-10  4.862100e-10  5.108000e-10  3.143700e-10
mo97      absolute  5.999900e-11  1.130400e-10  1.431900e-10  3.060400e-10  2.513200e-10  2.860400e-10  1.979400e-10
mo98      absolute  1.984000e-10  3.372100e-10  4.339900e-10  9.717800e-10  7.857500e-10  8.793800e-10  5.663900e-10
mo99      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mo100     absolute  2.591500e-11  5.538500e-11  7.481900e-11  1.363700e-10  1.330200e-10  1.591300e-10  1.304300e-10
tc97      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.895000e-13
tc98      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ru99      absolute  3.406940e-11  5.656900e-11  7.386700e-11  1.525900e-10  1.364770e-10  1.590750e-10  1.235700e-10
ru96      absolute  4.668400e-12  7.217800e-12  9.743500e-12  1.211400e-11  1.740300e-11  2.256000e-11  2.754600e-11
ru97      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ru98      absolute  1.613700e-12  2.492400e-12  3.356500e-12  4.170700e-12  5.991300e-12  7.803200e-12  9.568700e-12
ru100     absolute  9.109500e-11  1.444000e-10  1.819800e-10  4.215500e-10  3.340400e-10  3.690500e-10  2.244100e-10
ru101     absolute  3.369500e-11  5.422600e-11  7.024900e-11  1.336000e-10  1.273400e-10  1.489300e-10  1.264100e-10
ru102     absolute  1.456800e-10  2.347000e-10  2.894300e-10  6.460000e-10  5.366400e-10  6.049300e-10  4.078400e-10
ru103     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ru104     absolute  2.974200e-11  5.630000e-11  7.264800e-11  1.286400e-10  1.356600e-10  1.685400e-10  1.512900e-10
ru105     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ru106     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
rh103     absolute  3.954700e-11  6.292900e-11  7.969600e-11  1.516600e-10  1.472000e-10  1.743100e-10  1.523000e-10
rh105     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pd104     absolute  6.778300e-11  1.068700e-10  1.262200e-10  2.950000e-10  2.319200e-10  2.540900e-10  1.544300e-10
pd105     absolute  3.351000e-11  5.380500e-11  6.734200e-11  1.242200e-10  1.228000e-10  1.452600e-10  1.297400e-10
pd106     absolute  9.651700e-11  1.601000e-10  1.886800e-10  4.148300e-10  3.479800e-10  3.939800e-10  2.734000e-10
ag107     absolute  2.812000e-11  4.560200e-11  5.591200e-11  1.044480e-10  1.012870e-10  1.194310e-10  1.053900e-10
pd108     absolute  1.162300e-10  1.924000e-10  2.201900e-10  4.939100e-10  4.030800e-10  4.488400e-10  2.961800e-10
pd109     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pd110     absolute  2.192900e-11  4.608400e-11  5.530400e-11  1.035200e-10  1.006500e-10  1.225800e-10  9.733600e-11
ag109     absolute  4.044300e-11  6.623300e-11  7.774400e-11  1.613300e-10  1.428300e-10  1.642400e-10  1.262800e-10
ag111     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cd108     absolute  7.783600e-13  1.175700e-12  1.546800e-12  1.917800e-12  2.765200e-12  4.584400e-12  6.482800e-12
cd109     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cd110     absolute  8.757700e-11  1.398400e-10  1.550400e-10  3.632900e-10  2.834000e-10  3.081600e-10  1.885300e-10
cd111     absolute  3.903400e-11  6.401500e-11  7.358400e-11  1.541000e-10  1.333100e-10  1.509700e-10  1.129100e-10
cd112     absolute  1.281000e-10  2.097500e-10  2.321000e-10  5.265800e-10  4.269500e-10  4.735000e-10  3.097400e-10
cd113     absolute  4.210800e-11  6.818200e-11  7.673500e-11  1.642700e-10  1.401800e-10  1.579100e-10  1.154700e-10
cd114     absolute  1.836700e-10  2.972300e-10  3.168100e-10  7.296700e-10  5.845100e-10  6.435200e-10  4.100100e-10
cd115     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cd116     absolute  3.386600e-11  9.888900e-11  1.138300e-10  2.391600e-10  2.135200e-10  2.514800e-10  1.564200e-10
in113     absolute  4.254200e-13  6.577800e-13  8.876000e-13  1.103400e-12  1.585400e-12  2.064100e-12  2.527600e-12
in115     absolute  4.201600e-11  6.800900e-11  7.424300e-11  1.610900e-10  1.382300e-10  1.568300e-10  1.146400e-10
sn114     absolute  1.356200e-12  2.092400e-12  2.813200e-12  3.494000e-12  5.019600e-12  6.574600e-12  8.092200e-12
sn115     absolute  7.039600e-13  1.085700e-12  1.459800e-12  1.813200e-12  2.604700e-12  3.397500e-12  4.169600e-12
sn116     absolute  2.381300e-10  3.638800e-10  3.645300e-10  8.384200e-10  6.535700e-10  7.025200e-10  4.471900e-10
sn117     absolute  8.289800e-11  1.382900e-10  1.438800e-10  3.115900e-10  2.585100e-10  2.868900e-10  1.983400e-10
sn118     absolute  3.730300e-10  6.405500e-10  6.415400e-10  1.396800e-09  1.111700e-09  1.214200e-09  7.824800e-10
sn119     absolute  1.159400e-10  1.994200e-10  2.000200e-10  4.248500e-10  3.409400e-10  3.728800e-10  2.489500e-10
sn120     absolute  5.980900e-10  1.069200e-09  1.058200e-09  2.178000e-09  1.635300e-09  1.742000e-09  1.108800e-09
sn121     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sn122     absolute  6.004300e-11  2.696100e-10  4.358100e-10  8.694300e-10  6.632900e-10  7.482900e-10  4.117500e-10
sn123     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sn124     absolute  1.723100e-11  4.324500e-11  1.379900e-10  3.366100e-10  3.149100e-10  3.607400e-10  2.000800e-10
sb121     absolute  5.192600e-11  9.271800e-11  9.512600e-11  1.853400e-10  1.511600e-10  1.680600e-10  1.254100e-10
sb122     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sb123     absolute  1.998400e-11  4.937500e-11  6.539900e-11  1.160400e-10  1.009500e-10  1.176500e-10  8.927800e-11
sb124     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sb125     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
te122     absolute  6.663700e-11  1.185200e-10  1.172600e-10  2.406300e-10  1.744200e-10  1.810200e-10  1.108700e-10
te123     absolute  2.250200e-11  3.947700e-11  3.923700e-11  8.110800e-11  5.824000e-11  5.988100e-11  3.689800e-11
te124     absolute  1.356600e-10  2.565700e-10  2.799200e-10  5.742700e-10  4.106800e-10  4.298100e-10  2.560800e-10
te125     absolute  6.129000e-11  1.094300e-10  1.298600e-10  2.431200e-10  2.054100e-10  2.297800e-10  1.826400e-10
te126     absolute  2.949600e-10  4.931300e-10  5.559600e-10  1.121700e-09  8.489200e-10  9.112700e-10  6.377200e-10
te127     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
te128     absolute  1.242100e-10  2.247600e-10  2.874700e-10  4.196300e-10  4.682400e-10  5.774000e-10  6.155000e-10
te130     absolute  1.031800e-10  1.600100e-10  2.134900e-10  2.639300e-10  3.786500e-10  4.932800e-10  6.046600e-10
i127      absolute  9.368200e-11  1.493500e-10  1.867800e-10  2.900700e-10  3.151900e-10  3.811500e-10  3.993700e-10
i128      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
i129      absolute  9.931800e-13  2.237200e-12  2.687300e-12  6.130200e-12  4.784000e-12  5.651900e-12  3.289000e-12
i130      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
i131      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
i132      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
i133      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
xe128     absolute  8.364400e-11  1.360700e-10  1.474100e-10  3.143400e-10  2.180900e-10  2.272700e-10  1.408300e-10
xe129     absolute  1.241600e-10  1.967000e-10  2.497000e-10  3.660700e-10  4.242300e-10  5.200200e-10  5.710400e-10
xe130     absolute  1.791900e-10  2.881900e-10  2.998500e-10  6.469600e-10  4.408000e-10  4.528000e-10  2.809400e-10
xe131     absolute  1.212200e-10  1.902400e-10  2.303700e-10  3.651000e-10  3.859600e-10  4.629300e-10  4.844700e-10
xe132     absolute  4.320600e-10  6.989800e-10  6.952300e-10  1.364100e-09  1.026100e-09  1.088300e-09  8.600100e-10
xe133     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
xe134     absolute  8.781100e-11  3.072400e-10  4.453800e-10  8.003900e-10  5.998800e-10  6.231600e-10  4.248100e-10
xe135     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
xe136     absolute  3.515900e-11  5.607100e-11  1.470100e-10  4.007000e-10  5.294600e-10  7.026600e-10  3.882200e-10
cs133     absolute  7.231800e-11  1.179900e-10  1.222200e-10  2.237800e-10  1.888800e-10  2.107100e-10  1.887800e-10
cs134     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ba135     absolute  9.187300e-11  1.722980e-10  1.788320e-10  3.335000e-10  2.465400e-10  2.556100e-10  1.928440e-10
cs136     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ba137     absolute  3.662200e-10  7.283000e-10  9.223700e-10  2.036217e-09  1.421076e-09  1.372837e-09  7.959072e-10
ba134     absolute  1.058800e-10  1.679900e-10  1.535500e-10  3.349200e-10  2.099300e-10  1.965700e-10  1.173800e-10
ba136     absolute  3.704600e-10  5.748200e-10  5.204000e-10  1.076600e-09  6.579200e-10  5.886600e-10  3.614300e-10
ba138     absolute  5.069000e-09  8.937400e-09  8.547600e-09  1.408000e-08  6.704200e-09  3.784400e-09  2.434200e-09
ba139     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ba140     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
la139     absolute  6.203100e-10  1.105800e-09  1.079500e-09  1.735100e-09  8.107900e-10  4.326500e-10  2.917600e-10
la140     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ce140     absolute  2.082500e-09  3.363000e-09  2.910700e-09  4.269400e-09  1.794500e-09  7.891000e-10  5.660000e-10
ce141     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ce142     absolute  1.076700e-10  4.389500e-10  6.306600e-10  8.479400e-10  3.675800e-10  1.630100e-10  9.801200e-11
ce143     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ce144     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pr141     absolute  2.244500e-10  4.089100e-10  3.678100e-10  5.142000e-10  2.282500e-10  1.157100e-10  9.164100e-11
pr142     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pr143     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pr145     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nd142     absolute  5.150600e-10  7.273100e-10  5.915000e-10  8.948700e-10  3.660700e-10  1.529100e-10  1.128300e-10
nd143     absolute  9.401700e-11  1.709000e-10  1.771000e-10  2.505500e-10  1.153500e-10  6.136800e-11  5.052700e-11
nd144     absolute  3.004000e-10  5.595900e-10  6.403600e-10  9.260100e-10  4.001800e-10  1.762800e-10  1.183100e-10
nd145     absolute  5.809200e-11  1.068600e-10  1.233500e-10  1.791100e-10  8.343900e-11  4.367800e-11  3.489600e-11
nd146     absolute  2.765700e-10  4.860500e-10  5.429100e-10  8.188700e-10  3.527500e-10  1.452900e-10  9.015000e-11
nd147     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nd148     absolute  5.122200e-11  1.116500e-10  1.247000e-10  1.786500e-10  8.478700e-11  4.125600e-11  2.947000e-11
nd149     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nd150     absolute  4.870500e-12  1.247000e-11  1.454200e-11  1.691400e-11  1.597000e-11  1.759400e-11  2.048100e-11
pm145     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm146     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm147     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm148     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm149     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm150     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
pm151     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sm144     absolute  5.504900e-13  8.503900e-13  1.145900e-12  1.424100e-12  2.045900e-12  2.659900e-12  3.255100e-12
sm145     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sm146     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sm147     absolute  3.370900e-11  5.897000e-11  6.671600e-11  1.018300e-10  4.893500e-11  2.536200e-11  1.992500e-11
sm148     absolute  6.927400e-11  1.112100e-10  1.219100e-10  1.898300e-10  7.827700e-11  2.971500e-11  1.737400e-11
sm149     absolute  1.575400e-11  2.815900e-11  3.228000e-11  4.872000e-11  2.693600e-11  1.771100e-11  1.656800e-11
sm150     absolute  5.891800e-11  1.048600e-10  1.146400e-10  1.756900e-10  7.406000e-11  2.773300e-11  1.482700e-11
sm151     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sm152     absolute  5.492000e-11  9.882300e-11  1.092900e-10  1.651800e-10  8.035200e-11  4.315800e-11  3.536400e-11
sm153     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sm154     absolute  2.745400e-11  5.934700e-11  6.608800e-11  9.000900e-11  4.976600e-11  3.272000e-11  3.010800e-11
eu151     absolute  1.147700e-11  2.003400e-11  2.327900e-11  3.403200e-11  2.278600e-11  1.890600e-11  1.989400e-11
eu152     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
eu153     absolute  1.357900e-11  2.392400e-11  2.760300e-11  4.049300e-11  2.640600e-11  2.153300e-11  2.256300e-11
eu154     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
eu155     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
eu156     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
eu157     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
gd152     absolute  6.314300e-13  1.299500e-12  1.494900e-12  2.073400e-12  9.015600e-13  7.723900e-13  9.555700e-13
gd153     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
gd154     absolute  1.295000e-11  2.369900e-11  2.625100e-11  3.983500e-11  1.698400e-11  7.445800e-12  5.311700e-12
gd155     absolute  1.720200e-11  3.155600e-11  3.589000e-11  5.297100e-11  3.184800e-11  2.332700e-11  2.317100e-11
gd156     absolute  4.655700e-11  8.764400e-11  9.701000e-11  1.422300e-10  7.091500e-11  4.083200e-11  3.565300e-11
gd157     absolute  2.286600e-11  4.278100e-11  4.841300e-11  7.125200e-11  3.948900e-11  2.655700e-11  2.536900e-11
gd158     absolute  7.749200e-11  1.473100e-10  1.645300e-10  2.492200e-10  1.181800e-10  5.971500e-11  4.690500e-11
gd159     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
gd160     absolute  2.229500e-11  5.212800e-11  6.056300e-11  8.075900e-11  4.951600e-11  3.714200e-11  3.683200e-11
tb159     absolute  2.105500e-11  3.928100e-11  4.531900e-11  6.771200e-11  4.006600e-11  2.885200e-11  2.849000e-11
tb160     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
tb161     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
dy160     absolute  2.434500e-11  4.628800e-11  5.148100e-11  7.922500e-11  3.371000e-11  1.298700e-11  7.517600e-12
dy161     absolute  1.823800e-11  3.424600e-11  4.059800e-11  5.941300e-11  3.997800e-11  3.309300e-11  3.478900e-11
dy162     absolute  6.074300e-11  1.172800e-10  1.339200e-10  2.010600e-10  1.032200e-10  6.076800e-11  5.376700e-11
dy163     absolute  2.449600e-11  4.468900e-11  5.221100e-11  7.583000e-11  5.173200e-11  4.342700e-11  4.604900e-11
dy164     absolute  9.753700e-11  1.750800e-10  1.931400e-10  2.874100e-10  1.424900e-10  7.698000e-11  6.377000e-11
dy165     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
dy166     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ho163     absolute  0.000000e+00  0.000000e+00  3.694400e-13  1.150500e-12  7.304200e-13  4.930300e-13  3.491300e-13
ho164     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ho165     absolute  2.953000e-11  5.356300e-11  6.328700e-11  9.419600e-11  5.780600e-11  4.354100e-11  4.410600e-11
ho166     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
er164     absolute  8.967800e-12  1.910100e-11  2.289700e-11  3.527200e-11  1.491900e-11  5.702200e-12  3.210900e-12
er165     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
er166     absolute  4.073000e-11  7.227800e-11  8.574700e-11  1.330200e-10  7.296500e-11  4.783000e-11  4.563700e-11
er167     absolute  2.067400e-11  3.657300e-11  4.400000e-11  6.865400e-11  4.160400e-11  3.020300e-11  3.004100e-11
er168     absolute  7.293500e-11  1.266400e-10  1.459300e-10  2.322400e-10  1.127700e-10  5.581100e-11  4.294700e-11
er169     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
er170     absolute  3.886800e-11  7.487200e-11  8.636100e-11  1.283300e-10  6.660700e-11  3.435100e-11  2.566400e-11
er171     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
er172     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
tm169     absolute  1.682700e-11  2.913000e-11  3.453100e-11  5.482500e-11  3.196300e-11  2.127300e-11  2.011300e-11
tm170     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
tm171     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
tm172     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
tm173     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
yb170     absolute  2.194300e-11  3.724500e-11  4.161200e-11  6.320900e-11  2.699800e-11  1.036600e-11  6.120700e-12
yb171     absolute  3.504700e-11  6.037900e-11  6.905200e-11  1.087100e-10  5.581900e-11  2.892400e-11  2.230600e-11
yb172     absolute  8.490200e-11  1.405800e-10  1.584600e-10  2.450700e-10  1.147600e-10  5.146000e-11  3.528400e-11
yb173     absolute  4.057700e-11  6.726100e-11  7.703900e-11  1.207800e-10  6.078900e-11  3.129000e-11  2.442400e-11
yb174     absolute  1.862000e-10  3.013000e-10  3.397900e-10  5.317400e-10  2.465600e-10  1.009700e-10  6.041700e-11
yb175     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
yb176     absolute  4.138800e-11  9.279200e-11  1.085200e-10  1.473200e-10  7.427800e-11  3.530000e-11  2.378100e-11
yb177     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
lu175     absolute  2.772700e-11  4.503000e-11  5.176700e-11  8.010300e-11  4.270700e-11  2.403900e-11  2.008900e-11
lu176     absolute  1.338700e-11  2.160800e-11  2.407700e-11  1.250600e-11  5.564300e-12  2.006400e-12  9.525200e-13
lu177     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
hf176     absolute  1.152800e-11  1.841800e-11  2.090000e-11  9.259400e-11  4.147200e-11  1.548800e-11  8.039700e-12
hf177     absolute  2.549800e-11  4.338900e-11  5.005400e-11  7.172100e-11  3.842300e-11  2.184600e-11  1.834200e-11
hf178     absolute  1.017800e-10  1.726100e-10  1.969200e-10  2.926500e-10  1.373400e-10  5.723900e-11  3.483600e-11
hf179     absolute  3.561600e-11  6.046300e-11  6.967300e-11  1.044900e-10  5.088700e-11  2.315500e-11  1.569100e-11
hf180     absolute  1.883300e-10  3.079200e-10  3.541000e-10  5.448400e-10  2.536100e-10  9.763400e-11  5.177300e-11
hf181     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
hf182     absolute  1.621100e-11  3.816500e-11  4.265400e-11  5.466100e-11  2.538100e-11  8.808200e-12  3.111800e-12
hf183     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
hf184     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ta179     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ta180     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ta181     absolute  4.034600e-11  6.646500e-11  7.727300e-11  1.195200e-10  5.880400e-11  2.551900e-11  1.594200e-11
ta182     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ta183     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ta184     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
w180      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
w181      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
w182      absolute  7.315400e-11  1.122900e-10  1.290500e-10  1.986700e-10  9.288700e-11  3.826900e-11  2.360300e-11
w183      absolute  5.052700e-11  8.167700e-11  9.408400e-11  1.459200e-10  6.996800e-11  2.803800e-11  1.564200e-11
w184      absolute  1.357900e-10  2.062200e-10  2.324300e-10  3.614800e-10  1.705300e-10  6.564100e-11  3.440100e-11
w185      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
w186      absolute  7.238000e-11  1.126100e-10  1.245900e-10  1.905000e-10  9.895300e-11  4.540500e-11  2.936700e-11
w187      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
w188      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
re185     absolute  2.779100e-11  4.237000e-11  4.872300e-11  7.788300e-11  4.086500e-11  1.971800e-11  1.396100e-11
re186     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
re187     absolute  2.048300e-11  3.259700e-11  3.725200e-11  5.596300e-11  3.386400e-11  2.158300e-11  1.916300e-11
re188     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
re189     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
os186     absolute  4.657000e-11  6.634900e-11  7.367000e-11  1.125200e-10  4.965600e-11  1.753800e-11  8.467800e-12
