#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
ar42      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
k39       absolute  6.776500e-08  1.055900e-07  1.447700e-07  1.748900e-07  2.492200e-07  3.195200e-07  3.811000e-07
k40       absolute  5.021400e-10  6.725400e-10  5.796500e-10  4.800300e-10  4.770900e-10  6.136400e-10  7.903600e-10
k41       absolute  7.633000e-09  1.307400e-08  1.510200e-08  1.561900e-08  2.123300e-08  2.828500e-08  3.315300e-08
k42       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
k43       absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ca40      absolute  3.644200e-06  5.674500e-06  7.558100e-06  9.305400e-06  1.333200e-05  1.735700e-05  2.126600e-05
ca41      absolute  1.649000e-10  4.507600e-10  4.867400e-10  4.008700e-10  3.660700e-10  1.103700e-09  2.876500e-09
ca42      absolute  1.038900e-08  1.767300e-08  2.313800e-08  2.546900e-08  3.478800e-08  4.347100e-08  5.014800e-08
ca43      absolute  2.215300e-09  3.860400e-09  5.311500e-09  5.781800e-09  7.833000e-09  9.651200e-09  1.090700e-08
ca44      absolute  2.930400e-08  4.527600e-08  6.209100e-08  7.556800e-08  1.069700e-07  1.370100e-07  1.632700e-07
ca45      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ca46      absolute  6.252900e-10  4.417900e-10  1.635400e-09  2.527000e-09  4.675200e-09  5.842500e-09  3.388900e-09
ca47      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ca48      absolute  2.694400e-09  4.193100e-09  5.604700e-09  6.905800e-09  1.000800e-08  1.312800e-08  1.575700e-08
sc45      absolute  1.135700e-09  1.888900e-09  3.057400e-09  3.556800e-09  4.908400e-09  5.844100e-09  5.766400e-09
sc46      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sc47      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sc48      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
sc49      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ti46      absolute  5.009200e-09  7.373600e-09  9.964800e-09  1.241000e-08  1.757000e-08  2.250600e-08  2.673300e-08
ti47      absolute  4.321800e-09  6.527500e-09  8.847000e-09  1.106900e-08  1.594800e-08  2.062400e-08  2.457500e-08
ti48      absolute  4.179300e-08  6.440500e-08  8.630900e-08  1.071700e-07  1.539400e-07  2.004700e-07  2.447200e-07
ti49      absolute  3.995900e-09  6.318800e-09  7.770300e-09  9.239900e-09  1.298800e-08  1.690700e-08  1.964900e-08
ti50      absolute  6.497500e-09  1.011400e-08  1.210800e-08  1.484300e-08  1.656700e-08  1.941700e-08  2.058000e-08
v50       absolute  1.747800e-11  2.699400e-11  3.628900e-11  4.506900e-11  6.473500e-11  8.419000e-11  1.030500e-10
v51       absolute  7.385600e-09  1.146300e-08  1.523600e-08  1.887700e-08  2.678300e-08  3.485900e-08  4.260900e-08
cr50      absolute  1.389900e-08  2.146800e-08  2.886300e-08  3.584700e-08  5.148900e-08  6.695600e-08  8.194700e-08
cr51      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cr52      absolute  2.840000e-07  4.417200e-07  5.877600e-07  7.244200e-07  1.036800e-06  1.349600e-06  1.653400e-06
cr53      absolute  3.285300e-08  5.126600e-08  6.814400e-08  8.383600e-08  1.199200e-07  1.556300e-07  1.901800e-07
cr54      absolute  1.078700e-08  1.904600e-08  2.497200e-08  2.699300e-08  3.584700e-08  4.472700e-08  5.252800e-08
mn55      absolute  2.515600e-07  3.897200e-07  5.123500e-07  6.307600e-07  9.040300e-07  1.185100e-06  1.459700e-06
mn56      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
fe54      absolute  1.339300e-06  2.070200e-06  2.775000e-06  3.442300e-06  4.943100e-06  6.434700e-06  7.882400e-06
fe55      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
fe56      absolute  2.203400e-05  3.422200e-05  4.557300e-05  5.622700e-05  8.060900e-05  1.050100e-04  1.287300e-04
fe57      absolute  5.872800e-07  9.716900e-07  1.197600e-06  1.380100e-06  1.937500e-06  2.514500e-06  3.077600e-06
fe58      absolute  1.618800e-07  3.955000e-07  5.040400e-07  3.874600e-07  4.375300e-07  4.730700e-07  4.997100e-07
fe59      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
fe60      absolute  1.810400e-08  2.433400e-08  1.088900e-07  1.228400e-07  1.918900e-07  1.954700e-07  1.089900e-07
co59      absolute  8.872400e-08  1.765600e-07  2.588800e-07  2.471900e-07  3.149300e-07  3.710600e-07  4.192700e-07
